65350
ABABBBB BABBAAB
AABA AB
BBAB BAB
ABBBB BBAB
BBABBA BBBAAB
BAA BBA
AA BA
ABBABA ABAABB
AAABABA BABAB
BBAA ABA
A AB
BBBBBA BAB
BABAB ABABA
BBBBAB AABBB
BBA B
ABAAA AABABB
BAABB ABABBB
ABBB ABBA
BAAA BBB
AA A
BA B
AA $
AAAA BABB
BABABAA ABABBB
AABB ABAAA
BABBBB ABAA
A B
AAAA AABAB
BAABBB ABBABAB
BAAB ABABA
ABABBBA AABBAAA
A AA
AABBB AAB
BA AB
BABBAB AABBB
ABA BB
BAABA BBAB
BAB ABB
BABAAA ABBB
AAAAAAB BAABBB
ABBA BA
BB AA
ABA BA
BBAA ABBA
BBBABA AAAAAB
AB A
AABA AAA
BBBB BBA
ABB B
A BAAB
BAAAA AAAAAA
BBAAB ABBBA
AABAB AA
ABAB BBAAB
BAB AAB
BBB AAAA
ABA AABBB
BB BA
BABBA BABBB
BBBBA AABAA
ABBBB ABAB
BAABB ABAAB
BBA AAB
AA $
BBA A
ABAAAB ABAAAA
ABBBBABB AAAABABB
ABA BA
BABAA AAABB
ABA BBBAA
BBBA ABA
BAB AB
BABBB BBABB
AA B
BBA BBAA
BABB AABA
AAABAB BABBBBA
AAAAB AA
AAA BBA
AAA BBB
BABBBA ABBABA
AABBA BBABB
AA AAB
BA ABB
BA $
BBBA AABA
AB A
AAA A
ABAA ABB
ABABBA BBBABA
BBB BAAB
BA A
BBBB ABBA
AB BA
BBA BAAB
BABAA $
AAB BBBB
ABA BAA
AAB BAB
ABBA BAAB
ABABA BBBAA
BAABA AABABBA
AAAABB AABABB
BBA AB
$ B
AABBB AAABB
$ AB
B ABB
ABB BBB
AABAAA ABBAB
AB AAB
BAB BBBA
AABBBB AAABBA
AAB BAA
BA AA
$ A
AAAA ABBBB
B BA
BBB $
ABA BA
$ AB
BBA AAB
BBAA A
A AA
ABA AAA
$ A
ABA $
B BBABAAAA
AAABABBA BBBB
BAB ABB
AAABA BBBAA
BAA ABAAA
ABBB BABB
BAAA ABBBAB
BABBBB AAAABA
BABA BBA
A $
$ B
A B
B $
BABAAB BABABAAA
ABA ABBB
AAAAABA ABABBAA
BBA AAA
AAAAA AAA
BB B
ABABA BAAA
ABA BBAA
BABABA AAABB
AAABA ABAA
BA BB
BAAB BBAA
ABBAA ABBABA
BBBBAAA BABBBBB
A B
BBB BAA
BBB BAA
BABB ABAA
AAB AABA
AABAB $
ABBA AABB
BABA ABB
BAAA AAAB
ABBAAB BABAA
BABAAB ABBAA
BA BBA
AB BBA
BBABAAB $
ABAAA BBBA
B A
ABABB AABAA
$ B
BBBAAB BBAAA
AAABAA BAABAB
BAB ABB
AAABA BABAA
ABAAAA BBA
BB B
AB ABAAB
BBBAA BABA
BABA AAAB
BAAA AAA
AB A
BA AAABB
ABAA BAA
BBA ABAA
$ BAB
ABB BBAAB
AABBA ABA
ABBAB BABAA
BAAB ABBA
BBAAB BBABAA
BBBBAABBB ABBAAAAAA
BABA BBA
AAB BAAB
AB BA
BBA AAAB
ABABBA BABAAB
ABAB BAB
BA AB
BBBABAB ABBAB
BB AAB
AABBABBBBA BAABBAAAAB
BB AB
AAA AABAAA
ABBABA ABA
AABBAAA BBAABAAB
ABAA BABBA
AAA AA
BBBABAA BBAAABA
BAB BA
BAAA AAAA
AABA AAAAA
AABBAAAAA BBBAAAB
A AAA
ABB BAB
AAA BAA
AAAAA BBB
ABBBA AAAAB
ABB AAB
ABABB BABBB
AB A
BBA AAA
BBAAABB AABAAAAB
AABA AAA
BAA BB
ABABA BBBBA
BAABAB BAABBBBAB
AABABA ABAB
AAAAB BABAAA
AAAABA BABBA
BB AAA
BAAAA BBA
B A
AABBBBB AABBABBA
ABAABB ABBABAAAB
AB BAB
ABAAB BAAAA
BBBAAA AAABB
BA $
ABBBB BAAAA
BA AA
BAB AABB
AABBAA BBABAB
BBBBB BBBA
AA BB
ABA $
AAB AAAAA
BAB BBAA
AABB $
BBABA ABAAAAB
AABBB ABAAB
ABBB BBA
ABBAA BBBBB
$ B
ABBB BBAB
BAAA BBAB
BAA $
BBAAAABABAA AAAAABBAABB
BBABAB ABAAABB
AABBA B
AAA BBB
AB BA
BABAABA AAABAAAA
AA BA
AAA $
ABA AABAB
AAA BABAA
BBAAABAA ABAAABBB
AABBB ABABBAA
BAA BB
BAAB BAAA
A AA
BA BBB
AAB ABA
A B
AAB BBAA
ABA BB
$ AB
AABAB AABAA
BAABB B
A AB
BABBBA ABAAABA
ABAAB AAAB
ABBB BA
AABA ABA
AABBB B
BAA BAB
ABAA BBABB
BABBB BBABABA
BBBBB ABBBBB
ABB BB
BBABA BAB
ABA BBB
AA BBAA
BAAA BBAA
BBBAB AABBAAB
AA B
BABBABA ABBA
AABBABA AABAA
BAA AAAA
$ BAAB
AABABA BBAABB
AABBA AABBBB
ABBB AABB
BAAAB ABBBA
$ B
A BBB
ABAB ABBBBBB
ABB BAB
AB B
BBBBB BABBBB
AB AABAB
ABABB AABAA
ABBAA BAA
BBBBA BAAAA
BABBBA AAABA
BAAAAB ABBBBB
BAB AAB
AB BA
BAAB BB
AAAB AAABBB
A B
AAB AAA
ABA BBA
$ A
AABBB B
BAAABA BABBBA
ABBBA BABBA
BAABBBA AABBBAB
BBA B
AB ABBBAB
ABAB BBAB
AB AABBA
BABA AA
ABB BAAA
B ABB
ABAAB BBBB
A $
AABAAAA BBBBBB
BB AB
ABAB BAABA
BBABBABBAB BBBBAAAABB
AABBBBBBA AAAAAAABA
AAB A
AB BA
AAABBAAB BAAAABABA
AAB BBBAB
BBABA ABBB
ABABBA ABABB
BB ABAAAA
AAB A
BBA BA
BABBA ABAA
AA BB
BAA AAA
BBB ABB
BAA $
BAABBAB BBBABBA
AAABB BABBBB
AA BBBB
B BA
BB B
A AAA
ABBBB BABAB
BABA ABA
BABBA BAABA
BB BABB
BABABBB ABABABBA
ABA $
AABB BAAB
ABBB AABAA
ABAB AA
ABA AAAAB
$ BAB
$ AA
ABAAAB AAAABB
BBBBAAB AAAABBA
BAAABBB BBBBABBA
B AAB
AAB BAA
BB ABAB
BABB BABBA
$ A
BBBA AABA
BBBB AABAB
ABB AAA
BBAAB AABAAAB
AAA BAAB
BBA ABAB
BA BB
A BB
BBABA AAAABA
ABABB BABA
BBB BBBA
AA BAA
AAABAA BBB
$ AA
BBBBB BBABA
AAA BBB
BB AB
BA BBA
ABAAA ABBBA
AABBAA ABBB
AB AAA
AAA ABA
BAA AAB
AAABA ABBAB
ABBBB AABBB
BBBB BB
BAA BABB
BAAB AABB
BBBBB AABBA
BBAA AABBA
AA A
BBBAABB BBAB
BBA AAB
ABB AB
AAB ABAB
AB BA
BBAA BABA
BBBBAAABAAB ABBABAAAAABB
ABBBB AABB
AB BB
AABB A
BB BAA
AAAB BBBB
AABBBB AABBAAB
BABBAABAAA BAABABAAB
BA BABB
AB A
AABBBBBB AAABBAB
BBBAB ABBA
AA $
ABBA ABBAB
AABABA ABAAB
AAABB AAA
BBBBA BAA
BBAB ABB
BB AB
ABAABBBB BABBBAB
BA AAB
A AB
BBBBBAB ABBBAAAB
BBBBB BAAAAB
BABBAA AAABAA
AAAA ABB
ABAABB AAABAB
AB ABB
$ AB
A B
A BA
BABAA B
ABB $
AABBB BBBB
AB BA
ABAB ABABAA
BAAB A
BBBAA ABAB
BBBAA BABAAB
$ B
A AB
AABA ABAB
BBBB BA
AABAA BAA
ABABA BABAA
BBBABBAB BBABABA
A B
ABAABB BBAAB
AA AAB
BBAB AAAAA
AAABB BAAABA
AABAB BABABA
B $
BBBB BAA
ABB A
ABBBBA AABABAA
AAABBB AABAAA
ABAB ABA
BA ABA
BBAAAAABB BAAB
AABBA AABBB
AAB AAA
ABB BABA
BBABB AAAABA
AA $
ABAA ABBAAB
AABAABB AABBBAB
BB B
AAABA BABBABB
AAABA ABAAAB
AB BAAB
AAAB BBB
BBABA ABABBB
BBBBB AABAAA
BBB AAA
BA B
AA BBA
BAA ABB
BBB BBA
AB BBB
BBB AAB
BABA BBBBB
ABB BB
BBBBAAB ABABBA
ABA AAA
ABBBB AAAAA
ABAB BABAB
ABB ABBAAA
AAB BBBB
AAAAAB BABBBBAB
AAAB AAAA
AB BA
BBBBAA BBAABB
A AA
A AB
B $
B AB
AAB AB
BA $
BBAA BBB
$ ABB
AAAAB AABAB
ABABBABB ABBAAB
ABB ABA
BBA AAA
ABABB A
BBBB BA
BB AB
BAABBA ABABBA
BABBBAB AAAABA
B A
BBAB ABBA
BB ABAB
BBBBAB AABAABBAA
$ AA
BABB BBAB
ABA ABAA
AABAA BBBAAAA
AABBB BAAAB
BBBABA BBBAA
ABBBA BBAAA
A BBA
BBAB ABBA
AABB ABAA
BB $
BB $
B A
AAB A
BBBAA ABBB
BAAB ABA
AABBBA BBBB
AB AA
BBA A
BBA BAAA
AAAA AABB
AA AB
BB AA
BB $
AAB B
AA AAA
$ B
B $
AA A
ABB BBA
AABB AAAA
BAAABA ABBBAA
BBAABABBA BBBABBAA
BAAAAABB BABBBBBBAB
BBBB AABA
ABBBA BABAAA
AAAA AABA
AAAAA BABAAB
BAB AB
BAA $
B A
AABBA BAAA
$ A
A BA
ABBBB AABB
BABA BBA
A $
BBB BAAA
A BBAB
AAB ABAA
BA A
BBAABA BAAAAB
AAAA AABA
AABBAAB BABAB
B $
ABB ABBB
ABB BBB
BBAABABBABB ABAABBABAA
A BA
ABA BA
AABA ABAABBB
AAAA AABBB
A AA
BAA BB
ABABAA BBA
A B
ABAA BAAB
AAAAAAB AABABAA
AAB AAA
AAABA BBABBBA
BBAA BAAA
AAABB BBABB
BBB AAA
A B
$ BB
AABBA A
BBABA BAABB
BBBAA ABBBB
ABA B
AAAAAA BABBBBA
B BAB
ABBA ABBB
AAA BAB
ABBBA AAB
AAA BB
BABA ABBBA
BBBB BBBBA
BA AAA
ABAA ABAB
A AAB
AAAB $
ABBBAB BABAAA
AB A
AAAB BBBAAA
A B
ABBAAB ABAA
$ A
BA B
B A
AAB A
BBBABA BBABABB
BBA AAAAB
BBBB ABBAB
BBAABA AABBAB
AAAAAB BBBAAB
BBBBBB BBBAA
BB A
BBA BBBAB
BBA ABA
A $
B AA
ABAB AAAA
BAAA AABAAA
BABAA BAAAAB
A ABAA
A AA
AABAB AAABA
AAABB ABB
BBB BAAB
AAB ABA
AB $
ABABBABAA BBAAABBBB
BAAA BABBB
BABBABBA BAABBB
AA $
$ AABB
$ A
BA AAA
$ B
BB AAA
B A
BBAABA BAAABBB
AABA BB
AABBB ABAAA
BBBB BAB
ABB BAB
ABA AAAA
AB B
AABA AAB
ABBAB BBBB
ABB AAB
B A
$ BA
$ AABBAA
AAB BBB
ABABBBA AABABAB
ABBABAB BABBAAA
BBBABA AABBB
ABBAB BBAAAB
BBB ABA
A AA
BBABB BAA
AA BAB
AABBA BBBAA
ABAB BB
BABAA BAABAB
A BA
BAA ABAA
AAAB AAB
ABAB BAAA
AABBBAB ABBABB
A $
AAABA BABBBB
B AA
BAAB BB
A B
ABABB BBBBB
AABB AAAA
BAA A
A B
BAABBBA AAAAB
$ BA
BBA ABA
AA A
AABBAA BBABB
AA B
ABA BA
ABA BA
B $
ABB BBAA
$ B
AB BA
BBAAAAAA BAABABAA
B $
BA ABA
ABB A
AAB A
BABBAA BBA
BB AA
AAAA AAA
BB ABB
BBABB BBAB
A BB
ABA B
AAA B
BB AAB
$ BA
AAAB BBB
AB BAB
BA ABBBB
AAAAB AAABA
AA ABBB
BAAAABABA BBBBBABBB
BBBABAB BBABBA
AABA AAA
A BBB
BBAABA AB
BBB ABBAA
ABAB AABA
BAAA BBB
BA BBBA
BBB AB
BA A
$ AA
A AA
AA BB
ABA BB
AAAB $
BBBABA ABAAA
ABABA BAAA
BBB BBA
BAAAA BBAAA
AABBAAA ABABBA
BAAAB BA
ABA ABAB
ABABAB BAABAB
BBAB BAB
BAAAAABA ABABABA
BAAABBAA ABBAAB
BBAA BABBA
BAA BAAB
AABABB ABBABAB
BA $
BA $
BBABBB BBBBABB
BAA A
AAAB AAAA
BABBABAAA AABAB
BABBB ABABA
AAAAA ABBBA
BAABB B
ABAA ABA
AABAA AABB
$ BAA
ABA BAA
ABAB BABAAA
ABAAAB BB
AAB BBA
BAABBAA BBAA
ABAAA ABAABBB
BBA BB
BABB BAAAB
AAA ABB
BBBABBAB BBABBBBB
AAAA BAAB
B A
AABBA BBBAB
BAA BABB
B BAAAA
BBBB BABBA
BAAABA ABAAB
AAAA ABAAABB
ABAB BBBB
ABBBA BABA
AAB BB
ABAAAABA BAAAABBAB
AA A
BBBBA BAA
BAB BBA
AB AAA
BAABBB BAABAB
ABAB AAAA
$ A
ABBAA BBABA
A B
$ B
AABBAAABBA BABBBBBBA
AB BB
AA $
AAABA BABBB
BBBAA AABABB
AAAAB ABBBBA
ABABB BBBAAB
ABBBB ABABA
BBAAA BABBAA
BABB AAABB
AAAAB ABABA
BBBBBB ABB
AAABAABAB BABBAABA
BABB BAAA
BBAA BBBBB
BBBBB AABBB
AA ABB
BAAA AAB
AA BAABB
BBBB BAAA
AAABAAA ABAAAAB
ABABA BBABBB
BBBAA AAB
AABA ABAB
BBAB ABBAABAB
B A
ABBAB BABBA
AABB BBAB
AABB ABABBB
ABBAA AAAAB
AA AAABBB
BAAB BBABB
AABB A
B $
AAB AAA
AAAAA ABBA
BAABB ABBB
B AABB
ABAAA BBBAB
BBAAAAB BBAAAA
ABB BAAA
A B
BBAABA ABBBBA
AB BB
AABBAAABB AABBB
BA BAA
ABB ABABB
B AA
AABBA AAABA
AA $
ABA BAA
ABABBB AABAAB
AAB BAB
$ A
BBA ABB
ABABABB BBAAA
BAAAB BABAB
BAABB AABAB
BAAA ABABA
ABAAABA BBAB
AA $
BBBBBB BBBABA
BAAAA BABB
ABBA BBB
BBBA ABBBA
ABABAAABA ABBABABAB
$ AA
