17566
bbaaabbbb baaaaabaab
baaa baba
bbba baaaa
abbaa aabbb
bbabbbbaab aabaababba
abbbb bbbaaa
ba baa
bbbbabaaa baaaabaaa
abba baaba
baaaabab abbbbbabbb
bba abab
baabbb aabba
abbab bbbbaab
bbaa baabbb
aaaaaab bbaba
bbaaaa aaa
abbaaa babab
abaabaa bbababa
aabbbbbb aabaaa
bb bbbbb
bbbba aaababb
ab abaaa
babbbbb babaabbb
aaa b
bbbba babbab
baaaabb abababa
aabbabbb abbaabbbb
abbaa aaaaba
baababaaaaaa baaaabbaabaa
ababa bbbbb
ba bab
aabbbbaa aabba
bb aa
aaaa abba
aabbabab aaaabba
abaaaa aaabbbb
aaa abaaba
baaaaba bbaaa
aaaabaab ababbab
aabb bbabbb
aabaa babba
bbab babba
babaabbaa aaabbabb
aabb baa
aabaaab bbabaab
abbbbb abbbba
ab baaba
bababa bbbbab
babbb bbababb
baabb aaa
aaaaaa aba
baabba aabbaa
baab bbab
abba bbb
bbbaba aabbaa
bab babaabbb
aabbaabbb aaaaabbaa
ba a
bb a
aabaababb bbabbaabbb
bbaaab babbaa
aaaaaaa bbbaabbab
aaabbb babbab
abbbaaaa aaabbab
abbbaba aaabb
babbba baababa
bbababb abbababbbb
bbbba babaa
aabbba aabbbaba
abaa aababa
bbabbab babbabb
aaaaaaaa bbaaabab
aaaba abb
bbaabab babbbb
bbbbba bbbbbaa
aaaab abababa
bbbaba abbba
baaaaaa bbbbbbbaa
bbba bbaabb
bab babbbab
aabbab babaabb
aababb aabaaa
ababaaab aabbaaa
bababaa aababab
bbbbab bbbba
ba bbaa
baaba bbaabb
abbaabb aaabbbbb
abaaba baaaaaaa
babaaaa abaabaa
babbaabbaa baabbababb
bbb bb
abaa baa
baabb aaab
bbbbbbaa bbbabbab
bbbb abbabaa
aaabba aaababb
bbaaba babba
aaaaa babbaa
baabbbbab babbabb
aab bab
b ba
abaaaa baaaaa
bbaabbbb aabaabaab
aabbbbaa aaaaabbaaaa
bbaba abbab
aaababa aaababb
baba bbabbb
abaab aababa
aaaaabb aaaabab
baaa baab
b bb
ababba baaa
aabbaa baabba
bbbababa baababa
baababb aab
aaabbbababa abaaabbbbabb
bbba bbbab
aaaaaa aabbbb
aab bb
aabbabb abbababb
abb a
b ba
baaba aaab
ba bb
aaaabb babbbba
abaababaa baabbbbbb
b bbababa
baaababab bbaabaaa
bbaaba baaaaa
a bb
baab bba
bbb baa
bababb baaaab
aaaaaa abb
bab b
abaababaaaa ababbbaaaba
abbbab aaaaab
aabbb aabaa
aaabb babbb
bbabbbb aaaaaab
aaa aaabab
aab bbb
aaabab bbba
ababaaba babba
abaaa aabaabba
baab aabbbba
aaaab bbaba
bbbaaaa baaaabba
ab bbba
bbbaaa babbbbb
bbbabbaaa bbabbb
bbb baabaa
baaaaa abaa
bbbaa ba
aaaa aa
baba abba
baaaab bbaabb
bababaaba babaaa
bbb bab
ababbaaab bbaabaabb
baabba aaabab
aabbbab abbabab
aabbab baaaaa
bbabbbaa babbabbb
abbbaab baaabaa
b a
aaaab aa
bbabbbba abaababba
abaaaba aabbab
aaabbbb baabbbb
bababaaa aabbabbb
abaabbabb babaaaaba
abbaa abbba
baaaab babaaab
babaab abbb
aaaaababaab baaaabbaaba
