21398
BBABAABAAABAAA BBBABBAAABAA
BBBBBABAAB BABABBBBBAABAABABAABBBBAAAAABBABBABAABB
BBBBAAABA BAAABAB
BBBABABBAABABA BAAAAABBABAABBB
BBABABAAAA BAABA
ABAAB ABABA
AABBBBBAABABAAAABBABA AAA
BABBAABBABBBBBAABABAAAAAB BAABAB
$ BAAABABAAAA
BAABBBBABABABAAAABAA BBBABAAAA
AABAA B
BABAABBAABAA BBABABAAAA
AAABBAB BBB
BABBBAB BABABABB
BABABAABABBAAA BBBAAAA
BABAB AAA
$ BAAABBABABABBAAAAAABBABBBBA
BAABBBAAABABAAAABBA BB
BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAAAA BAABBAABABABBAABABBAABAABA
BABBBABBBAABABABAABABBABBAA BABBABAAB
$ A
$ BABABBABBB
BBAB BAAABABAABABABBAABA
$ BAABABA
BAABAAA BABBAAABBBA
ABBAABBABAAAAAB BAABBABAABBAAAB
BABBBAABAABAAAABABBBBA BA
AABBAB BBABAAAABAAAABAA
BAABBA BAAABBABABABBAAAAAABBABBBBAAB
AAB AAABAAA
BAAAAB BABBAABABB
BBABBBAABAAABBABAA BBABBAABAAABAAB
BABAB ABABBABBA
BAABBABA AA
BAAABABAABABABBA BABBABBAABABBAAAAABAAABAAABBABAABBBAAAAABAAABABABAA
A BAAABBABABABBAAAAAABBABBBBAA
ABBB BABABA
BB BBAA
BBABABAABAAAAAABAAAABAABAABBAAABAAABAAAAAAAAABAABAAAAAAABAAABAABAABAAAABAAAAAAB BBABBAAAABA
BABBABABBBABBABBBBAB BAABAABABBAABBBBABAABAAAB
BBABABAAAB BABBAA
BABAABBAABAAAAAAABA $
BBA AAB
$ B
AABAA BAAB
BAABBBABABAAABBBABBAAABBB AABBABAABBBBAB
BBBBBBABBBA BAB
BBBABABB BAABBAA
BBBA BABBABABBBABBABBBBA
BAAABABBBABAABBAABA BBBABABBA
AAB BAAAABBA
BBBBBA BBABAABAAABAABAABAABAAABAABA
BABBAABBBABBBAABAABBBBB BABABABAA
ABAABBB BBBABA
A BBBAA
BBBA AABBBBAAAABBB
BAAABABAABABABB BABBABBAABABBAAAAABAAABAAABBABAABBBAAAAABAAABABABA
BAAABABBBABAABBAAB BBBABABB
AAAAB BAAABBBBBBBBBABAA
AB AABBBBAAAA
BBAA BABBBABAAAABABAABABABABAAABA
AABA BAAB
BBAABA BBA
B BABABAABBBABBABABA
BBAABAAA BABABABBABBBABBBBAABABBBBBBBBABABABAAAAAAAABAA
BABABBABBBABABABAABA BBABBAABAABAABAABAABA
ABAA BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAA
BAABBA BBBAB
BB BBB
ABA BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBA
BBABBAAABAAABAAAAABAAB BBABAAABAAAA
BABABBABBABABBABAABAA BAAABBBABBAABAABABABABBBABABBAABBBBBBABBAAABABBAABBAAAAA
BAABAB ABBB
BAAB BABBBBAABABBAABBBAABB
