26583
BAABABAA ABBABABABBAA
BBBAAAA BBBABBABAAAAA
ABBBABBBABAAABABBBBB BA
BBBABBAABAAABB AAABAABBBA
AAABABABAAABBBAABB ABABBBAABBBBABAB
BAAB BB
B AABBABBAA
AAB BA
BAABBBBBBAAABBAB ABBBA
BAABBBAAAABBAABB ABBBBB
$ AB
ABABBA BBABBAABBB
A ABBBBBABA
BBBA ABABBBBABBAAAA
BAABBAB AAAABAAAAAABBBBBBBBA
BAABABAABABAAB BAAABBABAAABAAAAAABABBABAAABBBAABAAA
ABBABABABBAAAB BAABABAAAB
BBAAABABB ABB
ABBABBB AAAABBAABBBABBAB
BBAAABAB AB
BBBABBABAAAAAA ABBBBBBBBBAABBBAAB
BBABBB BABABBBABBBBBBAABAAA
BA AAABAB
BAAABBBAABABAABAABAABB BAABBBBBBABBBAA
ABBABBABBBABBBBBB ABAABBAABAB
ABBAAAABABA ABBAABABABB
BAAA $
AAAAAAB AB
ABBABABABBAAABAB BAABABAAABAB
ABBBBBB AAAAABB
AAAB BAAAA
ABAAAABBAAB ABBBBBBABABBABAABABBBAB
ABABABBABBBBBBAAB ABABAAAABBAB
BBBAAABB ABABBBBA
BA AAAB
ABBABABABBAAABA BAABABAAABA
BABB BBBBABBBBAAAAAA
BABABABBBBAABB AABAAABABABAAAABAAB
BBABBBABA AAAABABB
BBABABAAABBB B
AABAAAAB BBBBBAABA
B $
ABBBBBBBBBAABBBA AABBBAA
ABAABABBBA ABABAAAAB
ABBAABAAABBA BAABBBABBB
BABBBBBAABBBBBABBBBBBBBABAAAB ABBAABAABB
ABAA ABBAA
ABBBBBABABAB ABAB
ABABABABBBBBAABBBBBBBBA BABBBBBAABBBBBABBBBBBBBABAAABAB
BBBA ABBBBBABABAB
BAAA AAABBBAAABBABAAAB
AAA ABABABAAABABAAAB
ABB AA
BBBABBABAA ABAABABABBBBBABBBBBABBA
ABBBAAAABBB AAAABAAAB
ABAAAABBAABBBA BAAAAABAB
BA AAAB
ABA ABBBBBABABA
BAAAAA $
BAABBB ABBBAB
BBAABBAABBABBBBAABAAA BBBABABBAAAAAABBA
BB AAABABBBA
AABABBBBAAAAABABAB AABABBBAB
BBA AAABBBAAABBBBA
ABBAABBAAAABBAB ABABB
AAAAAABBABBAAA ABAAABBAABBAABBAABAABBABBABAABBBAAB
BAABBBBB AABBB
ABAABA ABABBA
BBBB BABBABBBA
A BBBBB
AAABABABAAAABABAAABABBBABAAA AAABAAAABBBAAABBABBBA
AA BAAABBABAAABAAAAAABABBABAAABBBA
BBAA ABABAABABABBBAB
BBB BBBABAABAA
ABA A
BABABABBBBAAB AABAAABABABAAAABAA
AAAAAABBAB ABBBABBBBAAABBA
BBBAAAA ABAABBAAA
BABA AAAABBBABBAB
$ AAABBBAAABB
AAA BBABBBABABBBBABBB
BAABAB ABBABABABB
AAAB BBBBBBAAAAAAAB
