24676
BBBAABABB BBABABBBABBAABBBBABBAABBBABAABBAB
AAAAAB BAAAABBAAAAABABAABABBBBB
AAAAABAAAABABBBABBBBABBBBAAAAB ABABABAAABBBBABBAB
BBBBABBAAABABBAABBBBBA ABAAABBB
ABBAABBAA BABA
BABABAABB B
ABBBAAAB ABBBAABAABAAAAAABBAABABAAABABA
ABAAABAAAAABBA AABABB
$ AAB
AABABAAB AAABBAB
AAB ABABAA
BBABABBBABBAABBBBABBAABBBABAABBABBBAB AAABBBB
AAAABABBABA BA
BBAABAB ABBBBBABAABB
BBB AAAABABBBAAAAAB
$ AAABBABAAAB
BBBB AAA
BAA $
$ BABBBB
BABAAABAABBAABBAA AAABBBBBB
ABB BAABBBB
ABABBAABAAA BBABAAABBBBAAABAAAAAAB
ABABAA B
ABBABABBABBBBBABABBABBBBA A
ABBAAABAAAABABBBB AAAAA
ABBBAABAABBAAAAAAB BAABABBABABAABB
BABABA AAAAB
BBBABAAABBBBAB AABBAB
BAB AAAABABBABAB
BAAB ABAA
ABABABABAABAABA BAA
BAAA A
$ BAB
$ BAABBBBBAABBBAABBAAABBBABAAABAAABABAABB
AABBBBB AA
BBBAABA AB
ABBBA BAABBBBBABBBBBAA
AAAAABBABAAAAAABBABBABBABABAABBAAAAABBABB BAAA
BBBAABBBBA AAABBBAABBBABB
BBBAAABABBA AAABAAAABBAAAA
BBABBAAABBBBA ABAABABBAAABAAAAA
AABAABB BABAAAB
$ B
BAABAABABBAAABBBB $
ABBABBBBBAAABABA AABA
AABBBB AAABB
AAA $
ABAAAAABBBBBBBAABBBABBBBBBB BABABBBABB
AABABAABAB AAAABAABAABAAAABBAAAAAAAA
BABABBBABBB ABAAAAABBBBBBBAABBBABBBBBBBB
AABABBABBBABAB A
ABBAABAB ABA
ABAABA ABBBBABABBAABBA
AABAA $
$ ABBBBAAAAAAABBABAABAA
ABBABAABAB ABBBABA
AABABABBAABBBAABABBAAAAABAAA ABABABBBBAABBB
BABABBBA ABAAAAABBBBBBBAABBBABBBBB
AA AABAAB
BAA BABBBBBB
AAABBBABAAAAABBBAB BABBABBBBABBB
BAA AABBA
A ABAB
AAB BBABB
AABAABBBAB AAABBAB
ABAABBAAAAABBAABBBAAABBB AAAABBABABAAAA
ABAAB AABBAABABBABA
AAABBBBBABBBA B
BBABABABABAABABBAAA BAAB
BBBBABAABBBAAAABBB ABAAAAABABABABAABBAABAABBA
AA AB
ABABABAAAAABAABBBBBAB B
AAABBAA A
ABAABABBBAAAAAAABBAAAAABBAA BBBABAABAABBAABBABB
AABA ABBA
AABABA AAABB
ABBAAAAAA A
AAAA BBAABABBBBAAAABAAB
BAABAAB AABBA
$ ABABBBAAB
ABBAABBBBAAABABAAABABBBBBBAAAAB A
BBBAAAAABAAABBBBBBBB AAAAA
AA AABBBBB
ABAABABB BBBABAABAABB
ABAAABAABABBBAAABABBABABBAABABBBAAAAAABBABBAAB ABBBB
BABABB $
ABBAABBABBAB AAAABB
AABAB ABBBAB
BABBAA AAABAABBAAAAAAA
AABBA BAABABAB
BAABBBBBAABBBAABBAAABBBABAAABAAABABAA ABBBB
BBBABBBBB $
BBAABAABBBABABBAAA BABAABAAABAAABB
BBBABABA B
BAAABBBBABBAABBBBBAA AABBAA
AABA ABBBA
BBAABAABBBBBAABBBBBBBBBBBBBBBAABBBBBBBBAAAAB ABAABA
BBBABBBBBBA AAABBBBAAAABBABAAABBBAAABBBBBBABABB
AAA BABAAB
$ BBAABAABBBBBAABBBBBBBBBBBBBBBAABBBBBBBBAAA
BB BAAAAAABBAAAAAABB
AA BBABABA
AA BABBABBBBAAA
AAABAABBAAAAA BABB
ABBA ABBBBBBBAABAAABAA
ABBBAAAAA ABBBBABAABAABABABAABBABBBBAA
$ ABBABABBBBB
$ AAABBAABAABBAABAABBAAAAAA
ABAABBBABAABAAA BB
ABBAAABBA BBB
AB BABA
BABBAB ABBBBBBBBBBBAAAAA
BBABABBABBBAAA $
ABBAABABBAB BB
AAABA AABAABABA
AAAAAAABABABBBBBBAABABABBABAB BABABAAAA
AAAABBBA BAABAABBBBBABBBBBBAABBBBBABABBB
$ BABAAA
AB BBABAAAB
BAAABBA ABBB
ABBAABABABBABBAAAAA BAAABAAB
A AAABBABBB
$ BA
BBAAABBAAAAAABBAB ABABBAABBBBBBBBBBAAA
AA B
AA BABAAAAA
ABAB ABBAABAB
B ABB
B AAAAA
AABAAAABBABBBA AABBBBABAABAB
BBBBBBBAAABAAAAAABAABBBAB ABAAAABBABABBABAAB
ABBAB BBAAAAABABBBA
AAAAABABBBB AAAAABBB
ABBAABAABBBABBAABAA BABBBBBBBAABABBBAABABABBAABA
ABABABBBAAABB A
AABBBAB ABAABBAA
AAAABABBBAAAAA BBABAAAAABABA
BABABABAAA AAAAABBABAAAAB
AABAAABABABBBBABBBBBBABA BABBBBBBBAABBAAABAABBAA
BAABABABAAAABBABABBBB ABAABBABBBAABBA
ABB BABAAAAAABABBBAAABBBABABB
AAAAABBABAAAAAABBABBABBABABAABBAAAAABBABBABB BAAAABB
BAABBA BABABBBAA
AAAABAA BAABABABBABABABAB
