46193
EBEBBBBCDBEEEBBEECBBCDD BCBBCDDCDDB
CDBB CAEECBDDBCDBEAADEBBEED
BBEA A
EDBACEBC AADCEA
BB B
EBACCA DEDC
DB CB
EC ACDE
AAEEBAABDBDA EDABABAC
ECAC DECAAEADEDCEBD
$ BDE
CD B
AEDDD DC
DEDCEBEEB EBE
BEAADABBAD CBBEEEB
DAEE DD
DAEBDEBEBB EBA
AEDCB DE
BAEB CAABEACB
DCBAA BB
DEBBEDEABEABADB BAEBDDEEBA
D CCDEBDEBE
DDEBBCA EEACD
DAEBDEBEBBBD CEDBECAD
ABDDBBDBDBAB BDCCD
DAE BDEAD
BE D
ACBBBEAABADDA CC
CBEACAACCDD ECB
BBE BBEB
DE EEED
CABC CEECEA
DAEE DD
CB CBAEBDB
CBDEE BCBDABDBACDDDBDBD
$ EBDAEEC
DCBBB EBADAAE
CEC EBDBDEEAE
CCEA DDEEDBDEAABCD
ACEDBBA ACECD
DEBDEABEA DDE
BBCCEE CEDEDDBCDCDEEACDECCA
CB DAEABAECEBDE
CCEBCEEBE DDBEC
CE ABCEDEEBD
A EBEADBD
BEE EC
EEADBCBDBDDECB E
DDDAECAE BBEBBDEB
ED BCEC
CEEAEDCA BBEBAB
$ AC
EBCDBAE CDCE
BCBBDBDBCADDBCDCB CDACEBBDAB
CECAAABBEDAAB DCC
DAECADC DECCDD
DD BCBDABDBACDDDBDBD
BCBEABBBCABB BAACB
CED EEEEE
B CBEAEBCEB
ADEC EBA
CEAA AAEEBAABDBD
ACAAEB EDDDADBEEDAE
DDEEDBDEA B
C D
ECDBA AABCEDCD
CB D
$ DDBBEDCB
ADCB CC
CDDADACEE CECEBDDCD
CDDDCBD CBBEBDBE
CBA AD
CECEBD BCBDDCDAD
CDEECB BCEA
BDEA $
AB BBBCAE
B EBB
BA ACDEC
EC BD
DDEDAABEDA BAEBDDEEB
CBA AD
BCE C
BCBDABDBACDDDBDBD CC
C EBDDBEAADDBD
CB C
BACADABEDE DAEDA
CDD CAAD
BBE DCBAAE
C ECB
BCBDDCDAD CECEBD
BEAED EDDDBDC
CECAABB CEDDDDABDBDDDAD
DDACDA ABDDBBDBDBABB
DACDE CA
DE DBE
EBA EBABCADB
BE EDADBEAB
BAEBE BEDBCEECB
BEEDDBABBE $
BCDBE BDE
$ DB
CBEEEEDBEB ECBBDBEBEE
DECAC EEAD
D DB
DDEBBC ACB
EDBEABADBBACDDDA BCCDB
D CCDEBDEBE
EDBEABADBBACDDDA BCCDB
ACC CAABCD
ACAAAB D
EE D
EDBCA DDCEDDAEDBDBBD
CEBE EBABEEB
ACBBEBCCAA $
DCAABB DDBBDD
DAEDA BACADABEDE
DDDADBCAACADADD CEBE
ACA CEDCABEDAE
CBAEBD C
A B
EBB E
C CB
CD DEE
C BCE
EDAEA EE
AE $
D CEE
CDBB CAEECBDDBCDBEAADEBBEED
CBBEBDBE CCAEBD
AAADCBEBEBDDAD CCC
DEAA DAEAABBBED
C AED
EC BEE
DCAB AEABDEB
DB $
CDD C
CBEACAACCD $
$ CD
CBAED BAEDCDDD
CEC CEBEBECEC
DD DAEE
AA BDEE
EBEB DEA
AEDACDCDC AABCEABC
AAB CEDDDDABDBDDDADCCB
CDEECBCEA ACBEBBE
BAE AEBDD
DB D
DDDAECA AAEAC
CBDEABCEBEEBCDBEABEAD $
BEDEB EDBDCDBA
BCBEBDBCBEB CBCCAD
CEDB B
BAEDCDDD CBAED
CBAED BAEDCDDD
CBAEABEBBCBEABDDCCCEBDCBBBABEBBCDECDDDEDECDB DBBDBBDDDDD
DEADEACAB CEEB
AAB C
CADAACBDD CABBB
CBBEBAEAB ACEC
CBEDAED CEDBBCEBCDEC
EBBDAADACAB E
EDBBCDDBAD $
BEBAEB EDD
CECAABBCCBCE CEDDDDABDBDDDADCCBCE
DDEBBC ACB
CDEECBCE AAC
BED CDBB
ECE EBAEADBADD
AD DCAACAA
DBBDBBDDDDD CBAEABEBBCBEABDDCCCEBDCBBBABEBBCDECDDDEDECDB
CE A
CDBEBBEABBCCE AEEB
AE CCCED
ACA DCA
DEADCCCCC DAECAD
CCE E
E CEBABACA
ECCEBD ACDBCCC
DDCEDDAEDBDBBD EDBCA
E AA
CAABCDEB ACCEB
BCBDDCDA CECEB
D DAADAEADEBDAD
AE CBB
CCDEBDEBE D
EEEDB DEB
CBEACAACCD $
CCCECDDCAEBCCCC D
BADEB CCEBCEEBE
ECEA AB
D CEEEECAE
BAEDCDDDA EBABDCCBEDAD
AAD ED
CEDDDDABDBDDDAD CECAABB
DEBA EBA
C E
BBE ED
DDEBBCC EDBABDEED
CB CCC
E CE
CAEAEB BDEE
DCBBBBBACBBCDB DBBDEDBBDD
EDADDC CA
ACBBBEAABADDA CC
ACBAE CBEACAACCDD
CCAEBDBC CDCCEA
$ D
BCE C
AEE ECBDBE
DBBDBC A
EBBCBEABEAD B
D ECA
EBEADBDE AD
CDA CA
CEBEBE $
CBBC DAEDAEC
EBEB DEA
CECEBDD BCBDDCDADD
AE $
CB $
EBDDBEAADDBD C
CDEECBCEA BEE
BEEBAA EDACC
CEDDBBBDADDADDBDDBD CEADB
CECAABB CEDDDDABDBDDDAD
BAEB CDEBCAEBAE
AABCE DE
CEBEB BA
CEAEE E
BCBBCDDCDDB EBEBBBBCDBEEEBBEECBBCDD
AEB BEBEDE
DCAACB CE
C EBBBDD
BEDE DEEBDBAABCBDCAA
DAEEB ACDBCCC
EBBC EC
CCC ACAABB
BABC DBBCDE
ECEECBD $
BEDD BAAC
CED $
CE ECEECBDCE
ABAE ECCEABD
CDEECBC B
CECAAC AA
BBE $
BCEDD AC
EBEDEDBD DDBCBBCDD
