33108
ABAABABA AAAAABBB
AAAABAABBBBAB ABAAB
AAAAAAA B
BABABBAAAAABBBBBBAAAABBABABB $
A $
$ ABABB
ABBAAAABAABBBABBAAB ABABBAA
$ BBAABBAAAB
$ BAAAABBABBBABBBBAABBBBBAAAB
BAAAA BAAAAABBBBBABBAAAAABABAABAA
AB BAABAAAABAABAB
ABABAB BAABA
A AAABAAAAAABAABBABABBBAB
AAABBAABBBAA BBABABBAABB
ABBAABBBAAAB A
$ BABAAABBBAABAA
BABAAAAAAAAAAAABAAA AAA
ABAABAAAB BAABABABAAB
ABAABABBA AABBBB
A BBBABBBAABBABAA
ABAAA AABBBA
BBA $
BAABA AAAAA
AABAABBBABBBBAAABA AABBABABAABABBABA
BABAAAABAA BAAAAAB
AAAABBAABBBBAAAAAAAAAAAAAA ABAABBAAAABBABBAABBBBAAABAAAABBAABA
AAABAABBB BBAAAAABA
BBBBABBAAA B
AA AAABBB
BABAAA AAAABBAAA
ABAAAA AAA
ABBAAABAB B
$ AABABABABBBBBAAAABBBAABABBBABAAABABBABAABABABBABAABBBBBBAABAABBABBAAAB
BBAAAAABBBBABBB AAAAABB
ABAAAAABBBAAB ABA
A BAABBB
A AABA
B AB
BA BAAAAB
ABBABBAABAB AAABB
ABBBBABBAAABB ABABABBB
BB ABAABAAAABBBA
AAABABBBBBBBBAABAAAAAAABBBAB BBBBAAABBABAABBAAAAAABBBBBAA
AAABBABBBAA AABABAAAAAA
ABAA AAABBAABAAB
AA AB
BB BAAAABAAAA
ABAAABAABB BAABAABABAA
$ BBA
ABAABBBBBBABBB ABBBBBBAAAAABBBABABBBBBAAAB
ABBABB A
BBA ABB
BABABABAB BAAAAA
BB BAAABAABAAAAAABA
B A
ABAABBAAAABBABBAABBBBAAABAAAA BAAAABAAAAA
AABAAAAAABAAAAABBBBBBBBBA ABABABBAABBABABBA
BAABAABA BB
BABBAABBAAAB ABBABBBAA
ABBBAAAAB ABB
ABBA BBAAAA
A ABABBBAAAB
BAA BAABBABBBBBBBBAB
ABBABBBABABAAABBABBBAA BAABABA
$ BAABBABBBBAABBAABBBBBBBBBAA
AB AABBAA
BABBBBAAABBABBBABAA B
AAAAAAAABBAAABBAAABBAAAAABAAAABBABABAAB $
A BA
BAABBAAAABABAAAAB ABAA
AABABBBBAAAB ABAAA
ABBAAAA AA
ABBBBBABB BAABAAAAAABBBABAAAA
ABABBBABABAABBAABBB BBAA
AB A
ABBBBBBAA AAAAABB
AABABBBAAABAAABBBBBBABAAABBBBABAABABAAAAAAAAAAABB BABBABA
B BAABAA
BB ABBAB
AABABBBBAAAAAAAAABAABBBBBBBAA BBAB
BABAAABABA AAAA
ABBBAAAB AABA
A AAABB
ABAABBABBBBABAAB BBAAA
BBBBABBAA A
A ABBBBBA
AAAA BBAAABAABBA
BBAA AAA
BB AB
BAABBAABBABBA BAAAABABBBAABBABAA
AAAAA BBAAAAABBBBAB
ABBABB ABBB
BAAAA ABBABBB
$ BAAAABAABBA
AAB AAAB
AABABBB AB
AAAA AAABABBBAA
ABABBBBABB BABBBBAAAABABABBB
BBBBBBBBABBAABBBBBBBBAABAB BBABBBABBBA
ABBABAA ABA
ABB BABABA
$ BB
$ AA
$ ABAABAAABBBBABBABABBBABBBBB
BAAA AAAAAB
BAABB BA
ABAABBBBBBBABBABBBABBA BAABAAAAAABBBABAA
ABBA AABAB
BABABBBBBBAAABAAA ABBBBBAB
ABBBAA BB
ABABAA ABBBABBBB
ABA ABBABAAAAAABBAB
ABBBBB AAABB
BAA AA
ABBA BAAAABA
AA AB
AABABAAAAB ABBABAAAAAABBABBBBBB
BAABBBA BAA
BAAAA BABABBABABBABAAABBABAAAB
BB ABAAAA
AABB ABBBBBB
BA ABBAA
BBBBAB B
BBBBA A
A BAAAB
AABA BAABBAB
AAABABBBAABBBAABAA A
AAABBAB BABAABBA
ABB AA
ABAABA AB
ABBAB AAB
ABBABBB BBAAABAAB
ABAABAB AAABABBBAABBBAAB
ABBBA AAAABBAA
A ABAAA
AAAAAAAAAABAAAAAAA $
B AAABBAB
BABBAB BB
A BBAABBAABBB
ABBABBBBBAABA BAABBBBBB
AAABAB AAAABBB
BABAA ABBAAABBAAAABBB
AAA ABBB
ABAAAABBABABAB AAABAAAABBBBBAAAAB
AA BBBAABAABBA
BBAAABB ABA
AB B
BB A
AAAB BAABAAAA
B BABAABBAAAAB
AABBBBABBAAB A
ABBAAABA BABAAAABBAAAAAA
AB BAA
$ ABA
A BBAABBAABBB
ABBB B
A AABBBB
ABAABBBBBBA ABAAABAAB
B BABABBBAABAA
BB BAABA
AAABAABBAAABAAAAABB ABABABABA
BAABAABAA AABA
$ ABABAABA
BAABB ABA
$ ABAABB
B ABBBABAA
BABBABABBAAA AB
ABAAAABBBBBBBABB ABAAAABAAB
BABABA BBAABA
BBAABAB ABBABABB
$ ABBABAB
BABABBABBBBABB ABB
AABAA AAABABAB
ABBAAABABBBBAAAAABB BAABBBAA
BAABBB BA
B BAAAABA
BABAA BAAABABABABBABBBBAABABBBABBAABBABBBBBABBAAAAAAAABAABABBA
BABBBBBABBBBBBAABBA AABAABABAAAAA
AAAABABBBBABA AAABA
ABBABAAAAAABBAB ABA
B ABAAAAAAA
$ BABAAAAAAAAAAAAB
BAABBAA BBAABBABAABAB
AABABBBBBAABBAAABBAAABBBBABBBAB ABABABBBABABABBBA
AAA B
$ BBA
BAAAA B
$ AAABBA
AAAABBAABB A
AABABAAAAAA BABAABA
AABBBBAAABA BAABBABBAA
BABAABBAAAAAABABBB BA
ABAA BAABBAAABBBABAAAABBBBBBBBAAAABBABBABABABBB
A BBB
ABB $
AA BBAABBBBAAAAABABBABBABBAAAABAAB
$ BABABAAAAABBB
AABB B
BABB A
AAA BABBBBAAABBABBBABAABBABBB
BBBBBBBB AAABABABB
BABAAB ABBAAABBAAAABBBB
AB BABBA
AA BAABBAB
AB B
AAAAAB AA
ABBBABAAAB $
BABA AABA
A B
ABBAABBBBBABBBAAABB B
BBAABBAAA ABAABABAAABAAABABA
BAABBABA BB
BABAAB AAABBAB
AABBBABBBA ABAAA
BABBA $
ABA $
AABB BBABAABBABBBBAABABB
A $
AAAAABBBBBBAAAAABBABBA BABAAAB
ABBABAABBAAAB BAB
BABBAABBAAAB ABBABBBAA
BBAAAB AABBB
ABBA AAA
$ BAABBBBBBBBBAAAA
AA BABAABBABAAAABBAAA
ABBBBABA BAABBBBBBBBAAA
ABBAAAABB ABAABABABABBBBBABBBA
AAAB BA
B BAAAAABBBBABAAAA
$ AAAABAA
ABAABABBAA ABAABABA
AAAABABBBAAABBBAB BAABAAAAABBABABAAAABBB
BBABAB BABAABBBAAAAAABB
ABBBAABBABB $
ABABBA ABBBB
$ AA
ABAABBABAAB ABBAAAAAABA
ABA A
AAAABBABBBB BBAAABBA
BBA ABAABBABBBBBBA
ABBBAABBBAABBBAB AAA
AABAABBBBAA AAAAABBAABB
$ AB
ABA ABBAABAAA
ABBBA BB
AB A
B ABAAAAAA
ABBABBBA BBABBBBAAB
ABBABABA AABBBBAA
$ BABAABBAAABAABBABBB
$ ABBAA
AAAB A
BAA BABA
BBBB AAAABBB
ABBAAAB ABBBBBAABBBABAA
BABABABABAABAAABABBBBAAABBBBAB A
AB AABAAB
BAB ABBBABBABA
AAAAAABBB AAAB
BB $
ABB AABBBBAAAA
ABBA BBAAAA
ABAABAAABBB BBBBABBAAAB
$ ABBB
AAAAB ABAAB
ABBAA A
ABAABBAA AAABAAAAB
AAABBB ABABABBABBABABBBBBAAA
B BAABAA
BABAAAAABBBBBBAB ABBB
BABABB $
AABB BABA
B AB
BAABBABAABBBBBAAB BBB
ABABA AABAAAAAABAAAAABBBBBBBBBAB
BBA BA
A ABAABBBBBBBB
BAABABBB BAAABAAAABBBAAA
AABA ABB
ABAABABBAA ABBBAA
AA $
AAAA BAABBAAAA
ABABA BBBABA
$ ABABAABA
BAAAABABAAAAA $
BAAB BBBB
BABBBBAAABBABBBABAAB BB
BBA BBABB
B ABBAABABBBABBBBBBAAAABBBBAA
ABAAA AAA
BABAABBAAABAAABAAAABBAB AAABAA
BAAAABAAAAA AABA
AABABBBB BAABB
BBB ABAABAABBAABA
ABBABBBABA BAAAAABA
AB BAAAB
ABBAABA ABBBABBAA
ABA AA
BABB $
BB ABBAABBBAAA
ABBBB BAABBAABA
ABB $
BAAAAABAAAABBAAABB A
BABAAABBBBBABABBBB AAABBABAAABBABAAA
ABB ABABA
BABAABBAA BAAAB
ABBAAAA BABABAABABAAABBBBAABABABBB
A B
BABBBBBBBBAAABBB BAABABABA
AAA AAAAA
AAAAAAAABBAAABBAAABBAAAAABAAAABBABABAAB $
BBB $
BABBBA AABAA
$ ABBABAB
$ ABAAAABAABB
AAA AAAABAABAABABABAA
AAABB ABAB
BBBABAB ABAAABB
BAABBAAABABAB BAABBBB
A ABA
ABBBBBA B
AAAAAAABBBAAAAABBBABBBA AAB
ABAAAABAABBBAAA BAAA
AABAAB ABBA
AAABABBBAAA AAAAAAABBABAB
BBBAAABBBBBB BABBABABBA
AAABAABBAAAAAAAAAABAAABBBBAAB BAABBA
BABAABBA $
AAAAABBBBBBAAAAABBABBA AAAA
BABABBAABAA ABBABA
ABBA AABABBBAAA
BB ABB
BAABBBAABA BABAAA
BAAAAA AAABA
AABABB AABBA
ABA BBAAA
$ BABAAAAAABAABBAAAB
BABBAABBAAABAABAA BABAAA
BAB BAAAAAB
BABA BBABB
BAB BBA
AAAAAABAAB BAA
BAABA AB
AABAAABBAAAB A
B $
ABBABBBB ABAABA
A AAA
ABABBA ABB
$ BABABABAA
BABBAABBAAAB ABBABBBAA
B AAAABBABBB
AB BABAABAAAABAA
BABAAAAAAAAAAAABA A
AABA BABA
ABABABBAABBABAB AABAAAAAABAAAAABBBBBBBB
$ BBB
BAB BBA
ABABB $
B AB
BBBAAAABABBAAABAB BABABAB
BABABA ABBABAABBAAABABA
AAABBAABBBA $
ABBBBBAABBBABAA ABBAAAB
ABAAAAAAABAAA BABAABAAAA
AB BBAAB
$ AA
AAAABAAB AAAA
B ABBABA
BABAAAABAAABABBB BABA
ABBAA BABBAAAAA
AAB B
BAABBA AB
BBABB A
AA A
BAABBABB AABAB
A BBAABBA
BBBAA ABBBBBABABABBABBBBB
ABBAAAABABBBAAAAAAABBABB AABBBAABBBB
ABBBAABBBBAA ABAAAAB
ABBABB AAA
AABAB AAAABB
BAAABBABBB BABB
A ABAABB
BAB ABABAABABABAB
A BA
BBBBABBAAA B
A ABAABABAA
ABBABABBBAAAAAAAAABBABA BBBABA
BB BAABBAAAABABBABBBBBAA
ABBBAAA BBABABBBBAAAABAAABBBBBAABAB
ABB B
BABBB AABA
