25628
FJJ[S\E \]`KW`^L]`SJLUWYedVDeS\EjLejeE
AP`^LP[LHVHJ FN\[P`^LhPlibFkRGic[P[Xkq[aike[ZNKhkhFkc
g fpLh
[jPlp`] SDOhLg\Z\kWG
[hR`o WfH\
fnSJLUpH\]`^J[^L[KT\hRkchF_k\LokS UWTY`^LhPlYEjYT\Lj
fKYKLDk [SeEj\EjrhHIDT[i]DDDDe
[P fYOhPZ
AL A
JkRW ALHa]`SJaa`SJKTSO[LQXW
SDklmWmmmmWmW OFW\Y]n^KTSkl
FFkRpa FNJ\
[F oFJ^K\hHgi[i
fpa^` AP`
Aa`^KTfGZ JJRIN
SDe \R
fKUh \hSQ]]T
SehkPbMLhbFkppI`^LUGX_kik fGa
XDS SD
UHJUpa`^LUKX\F [Lgi
fKSYEj\Ejrh jPi
FJSklWqmWWWWmmWWWmW FN\QlmWm
[hR]TokSeE JVQkKhkdXaS\E^
AP`b SDOhLg\Z\kWGolq
Aa`^LH FN\UMWcnp
UpaHTJAL[a`^P`SW`^J[SJKTSOHa[KTF SOUbH
A AIP`SW`
PUOYRVDe UVePlG]THW\khk
FNJfRpHFfIQYe FN\HT\UVDe
$ [F
kGqPXke[P[hZ^hO UWGP[ZlZNR
ALGiQ_h_D[L^GZ fRVkX
FJJSeSQT fcUpWd
fGP[ae fGiPES[P[ic[ap[P[iP
\`TrD UNXXWcQTVkD
UVehR``]THg[iRq fYehRoleQobG
fYOWT FN
SeS\EjQ]olG`` fGP[OVOhPloR
AKTfYQkRGXk]e FJJUGiPEc[P[ZOPXkq[P[aq
[RkQB $
fpKTFNJFN\UNlXkq[Xkq[P[aq[ae[aq[P[ZXXNlP[Xkikq[ fKFFkefSQib]kXGh[
\[LKUNTeF]k Sk
BO[J[ fRWn
fc]` \^`
\hP fcQXVO]^^OhWeQ]d
fchRkKLg\IdPTPTPT[iR]THg[\gPTPTPT[\gPTPTPT[WNIdPT[iFkRWn^P`S [Rkc]`SW`S
fKF_egli UNX\SYEjQTokPli
rYe AKT[
[WG`Tg\g[ikPboR]oliPrhg\IDT[ijgPT APSW`^KT[LHg[\gPTPTPT
\[a Q\]
eSDehjIOT[\g[\g[ijg[iR [Lg\W\R]
\]`SC`SJPM AKTFJ\]`SW`SW`
FN\[CT`^J FNJJkpJ
Jkn^KTFNJUGP[P[aike fDkRGXkq[Xke[ae[ic[ae
[SeEjeEjYEjeEjg fKS
I ALHHJ
\`Tr UNXXWcQTVk
UPXkq[Xke[ZT AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTD
S rrkRV
SDOQ\RkYOhMF SeLHgPT[i
o\UGXPMe JkGP[Xkq[P[ZlXke
fchLg\Z\jZ\jId[ _LH]`^KTUWpT
FJJSX SD
SDklm \kYklWWm
fYgkXVOUaVO[Lh \hh]DO
AL]M`^P`^P`^KT\Q\dNVpHT\iW\NTDDeL UPXkq[Xke[ZTDeL
UWKFkLokhR`obr_SSn mLQ\Wg_
JkcQRkRPZTklOmm [RkcHTJSOHT\QXXlmmW
[RkcQRPP[im FJ\QXGiPE
ALhLPr JJAKTAVEhS\jr
fpa`^KeSFjj\g FN\UpT\UVDDeLHgPT
JkpP fRkXV]
S^kV \Q\RkcHTJJk
[F]kXVkXP [gFRTHD\]OQG
nchRkpKbF F
FJJfYDOh \UU]e
\hFjW\lVD JkRWYDDe
UWn^L] \]G`S
fNV SDD
UXRpT\hdGXke[ZTeSQ [SQ`[
AP`^LHa[a`S SDDO]`^L]`^TL]hS
fRPic[P[ FNJ\UGaikikqXkkikq[ZRlZlP[Xkikq[
UNXXWcQTVkD \`TrD
FJQjPXke[Xkq[X fKFFkGiPEc[P[P[aik
SDDO[U fn^
JkRkVeFRTN Seh
fch FJOALUGXke[ZOOpT\UGiPEc[XkikqhPP[aiUkikq[P[ZOWKRkK
[dXlWmmWmWmmWmmmmmmmmWmm Skl[GWW
mNjH JkGP[P[Xkq[P[Xkq[P[ZNRVOH
[Plr_nF\jgmj SDeLg\W\_DePlMmjqq
SDeF_OC \UWnSW`^KTfKh]eLo_DDkRWc
\U `UpHJfRXR
\hhR]obQMeEnjYEGYEj\EjTE fKh_DkXpHJFJJUX\SeE
UXIVkXP JkGic[
FJ\[K $
[RkYDOQlWm Skl[GW
\]`SW`^KT[h_FeLHZ\_eSQobeM [hjg[\g[\IDTPTPT[iR
Aa`^P`^L]`SW`SW`^KT[FFkcHa[ SeRkGaqj[ZNn^
UN FgN\UN
fK Fk
JkcQ\dVO[J[SJP`SJJ[^KTSDDehkP JkGZOpaQP
FJJfYeSg FN\QXVOhdVOMKTSeSYEjghPg
fc[P`S \]`^GP`S
FJ\hdNNYDk hSDOQ
\ ArXqa`SSJ
\]`SJL[a`SW`SJKTJk JkVDeRkRNN
FJSklWqmWWWWmmWWWmWm FN\QlmWmm
AKT[L SFRT
UpHJhLPQ]TPQ` [WeQ
\hh_k FJ\hFOhdX
FN\QRWKhjIdPTPT[\Z\jgPTPTPT[\gPTPTTL[\X[T[_ehR``TH fKhkPbeQ`]TH
\]X^a`SE` \HTJfn
ALU LHJkUKhk
\[P`S [P`^P`SW`S
[hkSYE I[dLP\E
UN UPp[ic[aq[Xkq^[XkqZ
ra`^L[LHkP[SiN SkX
fnS A
SOhLPeEjrhPeEjrhg\IdPTPPT[i [h
JAkpa`MLQT AKTSOQTVlDgSDg
JkpLhSrhfZ\eaOHTaUPaq fKRkGae[Xkq
fnS HfnSW`
\Ha N_
FJJfKWGTHgPTPT[ fYk\SghoDkdVeLg
[lb_DO AKTFNJFJ\
\hh ScDePlV_F_S]FeM]olib
gkZ [S\Ej\EjghgijIDT[iR`TP\Ej\EjQ`TbF
HfnSW`J FJ\[
JkYeLHg[ijIDTPTPTPT ]fYeLf]TP\EQ]Tg\IdL\Id
XD $
b fGZOWYk\F]Dk
[FRol \UU]ePl
UNX\SYEjQTokP fKF_eg
fcjU \]`^LQR
[dKeRkKhkPl [Pl
[dVk\AlQTdPg \hSeEjr
fKXXPP[JP[ [LgikdG
[P` Upa]`
UNTe UWY
FNJiPlfRob [S\EjghoR]]`]olV_]F
[SgPHO\jIOTehPT[i] [Lo_
JkKWGobo_kRXRVe fKf
Sg JkYDkXVeSr
SO[KT\Q \QRXU
SO[P`SJP`SW`SW`^a a`SW`SW
[FkWV_] [h]ehkFRolaG``]```]olV_
$ fRp
hSDOQ UVDkTrDTrDE
SDkXpHJ[hRTHgPTPTPTP U^TehjI
Jk IJk
Se A`W`^KTfRpjah
FNJS FJBS
AP \D
SOUbWRWRPP UGae[P
UNTe UWY
JkYklWWWmWmW nfRTPSe[ZTklem
UG JGjP[aikq[
[F]OH \U
fc[P \]`^GP
FFkRpa FNJ\
Sk\ V[
[dPplX FJJAKTFNJJkRGP[P[P[X
SOUWG Upa]`VLhdNlaiLe[Xke[aikeXkike[Xkq[
fcH FJ\LH
JkGiPEc[ZONO S
SklmmmWWWm JOQXIXlmmW
JkGZN F_Rb
FN\]`SJP`SW`^a`SW`^a`^P` \g`hJa`
UVk\ UX\LbPk
MVO]`SJFBP SO]`SW
fN fRNNR
F_Rbn AL]`SW`
\ _J\
q Jkc
AP` FNJfKhFkRKFkn[SW`^P`
\[KTSeh FJ\EUBTnJ[
AP`^KTU \]f`SJP`^a`^LHUJU
[RkKF]D UWVqDC
JkGXke[ $
\HTJfn \]X^a`SE`
FNJ\QXTrDEXmD UVkRXTSD
[h_DkRW FJOALUGXke[ZOOpT\UGiPEc[XkikqhPP[aiUkikq[P[ZOWKRk
Sk\FkhFk APJKTJkRNla[ZNGZlXke[ae[aikq[ZN
UNOpaQ\dp\]`SJKTALUPic[P[Xke[ic[i fRGaq[iPE
IFJ\R SO]`SW`SW`SJKTJkYkXpH\h
SDklmWmmmmW FJSklWqmWWWWmmWWWmW
FNJSDD \oNlZTkXV
FJGae[Xkq[aeP[aikq[P[ fG
kGZOWnSJKTAP`^P``^P`^KT FN
AP`JBS fc]`S
JkpLhSrhfZ\eaOHTaUPaq[P fRGP
fpL[a`^P`SJa`SW`^M`^ A
IfGZli SDkRPP[P[i
J JkKhWF
`UpHJfRXR \U
UXRVOda FJJAKT\
fKPlMeEjeEj SeRkdS\Ej`\Ej\EjX
UNT [Lg\W\\DD
UX\Lh [qrm
[CI [h
AC`SW` FN\HT\]`^a`
Sehk JkNn^KTZ
$ \H
FJ\HHJFJJ\hF]klmmmWmWmmm AKTdVDOUPZTklWmI
m\hi SOh
FN\HT\UVDe FNJfRpHFfIQYe
JkePlg_JnnFiHg[ijj\FkG UGP[ae[Xkike[Xkq[ZNG
\Ha[J[^a`^P`SW`SJ fn
[PiRg JkYOUWKLg
F[J\hLHgPT[\W\jW\RoT [PlKVV
JkWMQobR`THg[S\IO [LHgPTPTPTP
[Srh ALhF]DedPP[Xke[ZTkL
JkYedWn^a`SJa`^LQRXR FJJJSk\LkOohkcUWR
[W\jeEjQ`]]`] UWpGhhR`]]
FJQjPXke[Xkq[Xi fKFFkGiPEc[P[P[aiki
SDO]`S AiKDO[P`SW`S
SDk[\RkRNTO]`^P JkRNNc]`^P
qD Seh]DDDD
$ [Rkn^P`SJLQT
AJ LAL[J
S rrkRV
fKFFkGiPEc[P[P[aik FJQjPXke[Xkq[X
[FkWV_] [h]ehkFRolaG``]```]olV_
SDNTc[Dgc AP`SW`^a`SJKTSkTc
U`VDDDkXGPEP[c[ZTe] UX\P
SDehkLgikFjg[i UWRNTOUNDk\PbeQTo
UVePbGThj JkKSeEjgmqq
S Jm
[ [RSkpKT[
[eQo ALQ\P
\]`KW`^L]`SJLUWYedVDeS\EjLejeE [LgikPb\
\TJFNJAL[K Aa`^K
UXRWQSJJ[^a`^KT[dNXRpTJSDOQ\Wbk_DeFkL FJ\HaUVehkh]eLg\W\]ehR`]]T
fKWGolioR``TP lSBEj
[ JkchMIRkK
\HaQRVkXWGZNGZX\h]k\L iN\HHJSOHH\HT\hSQT
Lf f
SpUWGZXXXRGZlP[P[Xkq[XkNke[Xke JkchdPiPEc[Xke[ic[Xke[ZlXke
$ FJJFJJSOU
UGiPEc[Xkea SkXGaq[aik
UGaq fKXXPP[JP
JkRVDkRX Q
\ SDeLg\Id[\CdPT[\g[iFkc
[dPfZlNXkikq[aik_ke[ZNY \hdNNY
ALUG JkcHHJFN\QAGP[
FJ\hLo_P \[J[^KTJkRV
FJ]o\Q^ \UVDO[LHTJfRXTSDTVkD
\[KTSQ [dpT\Q\F]
iN\HHJSOHH\HT\h FJJSe
SOUpT\HM\Ha]`SW` fcQXWn
PUOYRVDeLPgm FNJSeLh
UX \maQ
UPaeIicZli \hdPP[aikq[P[aikq[i
Aa`SW`SW`SW`SJa`^ [L[
\[LKUNTeF] S
Jc fKLoRTo_kXXR
[LHgPTPTPTPT [g\g
fY qS
fnaJ FJ\[J
$ AJ
UVOUNTO[ SOd_p
o\UGXPMe JkGP[Xkq[P[ZlXke
\HhPloR`obGol [W
Sg JkYDkXVeSr
fLYDORPaq[ AKTJkYedpTJALUNl
F $
[RSkpKT $
