38134
W[PZ ak[SZifiCBpHdgP
ETW TD
eT Wd
fiBgdpHQ fifr__pr
OhKq EaIa
pifrprbHYbHYrprr fifrIKpSrr_
fiQbnWbWWnW pifbn
fiBXGfbnW H`GBfifr__prbnW
HPF T
T dW
HFGfr_ fiB]pBHFGf]
UH]g H
Oh aip
kBT XD[
T]d^hiXGBHPUhLL gHPUhLLWLLLmhWh^LWhWhWhL
cSVGP` cjP`
X XDdcSV
$ g
YVW AVW\VWoW
R`DbMSp Ro
XDDKc HFD]QjKckWWWk
pW piBfi
fifbne fifrprbnebnebncWWWe
WfXaaa gFDPGBEPX
RoOigPF Pr
WFDdcSmifrprb AVTpWXoGp
WP gFSDP
C gdT
Gfber`qI fifr_p
gpr g
g[GBUPhRPSC OjRPSSfSC
[dH HdH
cSSVP``````````````` TPFq\FGBcVP`
fiBg[[]hgPZ_ T[G^PZ_
fiU akk
WFUGfrQh_ pifr_prr
TFGBOhkfbnebn cmifr__prbnWWerprbner__prbnW
fi W[dcmiBdWFGBW[F
HFGfbeYr pifr
ii_Dd $
pif fifFbHYbnWNerpr
WPoU TPUhLWhLWhWhLW
cmifrQprr fifbHYr_
fifbnerprr pifrprir_prr
fiBRoO H
Od piBH
gdOdU^h cmiBpiBTd
H`GBfifr__prb fiBXGfb
gPUhWhLLWhLW gprPU
fiBXGfb H`GBfifr__prb
TdXmifbnerpr H[FGf
fiR`fiR`IlKEVC OhCV[S
pBTFGBAVW\VW\VW\V eVWp
$ bWSG^d
cSmiBc cX
eVWboWo_\V AVW\VW\VWoWo
fiU fiBWFG
fiBXGf H`GBfifr__pr
T[d eZV
k OhKEVk
cSSSVGU cSSVGG
XDdR`lg]d^jK fiWBT_T
HPPFqdO T]d^
HFGBeVW AVZW
XDDFGJBg XDPG^
NcGBTif pifrpr
fiBcVG \
$ HPFq[
TFDFQfbEnY T[dgdfifrpr
HdcSS cdh
heVWpWpW\VW\VWoWp gdeVW\VW\VW\VWo
XD[PPK c`miBXDDK
fUBg[d piBpiB
cSm qpnQ
m $
aiH[FDFGB `B
IPeZJIAlSfA g[[dTPZ
a RLYO
OR` RR
fiB RoVQk
XD[PPK c`miBXDDK
TFGBH[ GBT
akk i
akOKFZjGGGO aKES
XGX piBgdgF
Hg[VPUhLW`LLLWhLLLWhLWhhLh WPUhLLLLLWh
R[SZO g[H
RRp WdRX
G]OkRT XDdRo
RRp Ofhk`
T[G^PZ_ fiBg[[]hgPZ_
XDFD[dXGBT[dAVWoW\VWoW heVWpWpW\VW
agP^PUo WPUhLLWhLL
gHPUhLLWLLLmhWh^LWhWhWh T]d^hiXGBHPUhL
XGfb TDXfb
aG] WdRX
Y XGBAVW\
HPPK eVW\VWH
W]d^j mXDPP
fiBHFD M
aKEVkk WdiBpijXGBlH[FD[FG
HdTDKb c`miBXDD
fiBcmiBXDd OhGSZOGSO
RoOCD KDV
XGfr_prr___ pif
R[]OiT]hCYOg fiTH
PGej g]
R[]OiT]hCYOg fiTH
H[PC gP
Oj fiBOjH
Xa agF
g[GBUPh fiBOjKb
pifbnWer___p cmifrQp
WFGBR`pOg[dT X[
XG qpnQi
HFDPUhW Hg[VPUhLW`LLLWhLLLWhLWhhLhW
pMBA Oh
pi fiBAGC
cSSmiBocSSVG fiBpiBcV
eSWE eVWoWoW
GBRkBcm p
gFGB MgFDpGISB
fiB pfiB
aiOhk` G]OkR
R`V[]OifiBfigBWFDdfifr pifr_prbner
fiBWFGf fiUf
G fi
aDerI AVWpW\VW\V
$ HDKckkqS
AW XGBAVW\VW
FJ]^Gd^Q TFDFD]d^
R[]Ok[SYOCVkBcSSS c\SS
cSmiBOh Ydpi
gpr g
WdiBpijXGBlH[FD[FG HdTdcmi
XGfr_prbnWerprpHr gdfifrpr
cmnABfiRBXD W[
` RoOK
