29255
_jm^i^ _`
RTfnHTe bP[JTBfOEMQOGPXYN\fYHT
_^Sb`T bPqj
_jSa`ToI _S
_S`TmKJF[cfOJFU PbrN\h]
U m
joI`T^ _T
OoP` nLLlUJTDfOc^f
_[Ti_ RT
bPqjo`ToI`T QjI
nqi^ _SIII`TII`Tr^
T] V]]
O^ `E
RT__ nbNUWj
OoP[LTTDfOLT nXUSUSUEMQNOEOrJ
nJ JH
nkOJT\lfOqEFMHE nbESZF
nP[S UP]CLnYLgYbqOLTTDUcUJTDUL
gb nqT
dJ_lULlUXfO _iK[lTFUcfO
_S`ToII`TmK [
n[JFUEMQHOGLgYbjqO ne^_TP[
n[XULTFfOJ_TFfOSfOLlUcfOcU bPJH`OSfOLlfO
_Ji^i^B nq
nq Z_
bPJF _jmg
bPZZjFJFbbjhllUGP]RSF_H _ioeWSHPZ
nbHYa ULHYN\f
nbrHfZ UbhJFfOXUllfOSUEMQOLlfOGHZ
SK VfNfUYdH
nZZIo[llUS UbhEXF
bP[_lfO n[SfO
nJ nJFbHOlj
_i^SIIII`ToIIII jm^Vi^SIH
bPqS`ToaTrKb U
nbrHf UbhJFfOXUllfOSUEMQOLlfOGH
nq`S_jr`TmKZOK nZZQOK
_TP[EXFUXUXU UbjjNh
U[ UE_Ynn
_jr]K`OJTBUGbhXUEjOGLnYbhEX_lfUlfOcfOcfOGaY U
UbhlTFf nqTPGaYLnYOjq
pDb _T
$ nqjr^
nqi^T _b
$ X
RG bP[GNfO^R
$ n[SUGEFHYdHbqOEM
IS U
[Sp\\ [SNUE_]_pp
UP ISP
_bP nJFJFJFJFJF
$ UaY
bPLOllGfUEL\hF ULPYaYaYLPYP]CLHYY_Zd_
bPqiKqSII` jm^Vi^SIH`
_i^iKJFJFJF[GaYE UYe]RS
UbjjNhY nJFZ
bPqS`ToaTrKb U
U IS
_SI`To`To` _S`T^SI
n[cULT_lUSfObLT_lfOcUEeQLOEXFfOXUGP UbqOXUGLPYP
`OL UbqOl
UELVrhS]Y OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnn
_\KbOfR R
n`OGbqOJFfOEjOXfOJFfOXUllUcU H\K[XU
ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OG _iKqTPqS`Tm^iKZOKiobaYEF__H
YTB V
n[SfOGY g\Z
iM n`OGN
kTP _i^TP
O^R r
IUY_Zdcerh_Yn UP]Y
_i^i^jmKbNf KjH
UHCJPoek [FfNfbPqSI`Tm^iKqiK
_iK[SfOcU UPZCbhlT_lfOY
_jD _SII`To`T
bPbY g\
_SkT^YKbNfO^ O^
UPZ fjRYPXS_
UL bPba
nbN _SI`Tm^TPJFbYZZZU__cAVrhZCLPYELVrhFHY
n`OEMQOlTFUJT\lfOSUcUGaYbjqOcULTTDfOlTFfOEjOGOUf aIO
_TPqSI`TrKJ pnqi^KJ
U bPqS`ToaTrKb
ULnYHO[[[fbHOKKioOcUJT\TFfOXf_OGP _iKqTPqS`Tm^iKZOKiobaYEF__HP
^ [Sp
ULPY n[SfOGLPYa
UP]CLnYLgYbqOLTTDUcUJTDULlf r
bP`OJTDfOEMQOXfOlT_ bP[_lfOl
[SUEUp_pp[UEUU [S_UEUE
bPJFe EPWb
jm^Vi^SIH _jo`Tm^S
bP`OYZo`OSULT_T Hm
Z_jr nqjr
OUE UE
RTfN UN\
V]] $
nW ULHYbqOYZjFJF[LTFUJFULlUEjOG
U b
RT] V]O
bPJFJF TP
U MhM
_T _Srr^i^
Ub nqTPGaYLnYOj
UE IUY_Zdcerh
bP[S _j^TP`OX
nqTP`OEMQOcUEX_lfOllfOS P[J_lUrfOcfOfOEXB
dn ne^_TP[
_TP[c P[J_lUrfOcfOfOEXB
n`OERFULTTDfOYZobPZFSZCL UESXYLnYL
_jm^TPJFeUpoP bF
pnqi^ _TPqSI`Tr
jFN V]
_i _r
[hXXXXXXXXXXXXXXXXXXXXXXXXX [hXXXXXX
_iK[SfOcULT UPZCbhlT_lfOYLT
[SpFSUE_]NUE [S^__BUNUnN
V_SVTrK`O`J_l _S`ToII`TmK`
Oo $
RP[E bP`OXfOSfOE
_iK[[ OoPbYZdHaYHOKiQZo[S
OoP`OLTTDUUlTQABfOSUBlUSUGES]Ynnnnnnnnn UELVrhS]Yn
OUp bPVFJFW
[SNpFSpFhXXXXXX [hYXX
nJF`O UbJcaO
_ipOG _TP`OcUSUGO
n[XfOGOW RiT
Uob bPJFqS`TmKeU
RUm UPXSSZC
UE_Ynn UPXQS_YnnGnnnnOn
C nqT
nZZIo[llUS bPqTPJFqjrKJF`OSUS
n`OGbjjhJFUllfOEjOcfOGbj nWb
bPb Un
SK VfNfUYdH
n`OERFULTTDfOYZobPZFSZCLn ULnYLHYLg
bPJH`OSfO _TP`OJTDULT_lfO
nbELXhLOAr _i^SIII`ToII`ToIII`Tm^TPJFbPZFLr
dJ_lULlUX _iK[lTFUc
UaYO nSbN
_SI`Tm^jYo`Tr^TPqS`Tr _jm
RTj_T__ UbjqOXUSfOGESZFF
ne [
bPU _joII`Tr^SI`T
bP`OLlfOEjOS n[SU\fOSKOJT\UGbhSfOXfOSfOXUSUll
nZZjFb OUE_C
_TP`OJTDULT_lf bPJH`OSf
