34005
IHQWl CgdKTK]REAI
$ I
IdIZ`IT ISQDiP[rGUCi]
CZlpTTPTTT CZpRp
CEe C
CgRWMWU`\S IeVIBU_faUZXQ
CgSMfS IeUl
\S`C_L_WWWcL_cL_ \_fgWL_L_cL_
ISprfXLf Ij`\_V[[Ri`CgSM
C_L_cL_cL_cL IHTpr_L_cL_c`L_cL_cL_cL_BcL
IH_`CXi Z
BSC C
IRjhqIEEkE \aEWeaCARjhqA
OC C
C_WlSQDi`C IeHC
\QAQ`IhCifEPUTA CGfWNr
IRAllQfYMLKlji CGf]lpClp
$ \_Uf
Y IN`\_fWHTQ`CE
\MhU\hIY CgRWVXi`C
\ mp
YIhW \TQPBA\TlpLoRWVeS
CGfLfE_E ILSBbQ
IHQj\agpUgpUgpUgqpUgpUhpUgp INUAGLlhDgpUgp
IRP \hQWM
C_L_WW \_fgWL_L_cL_cL_
Iji IjUAim
YGDYVBNBRV[flo \TpLfWZY_
\SCGQ ISrOT
CGmM \_AIRAp]OTQG
\QPim IeQGrQA\
cHTTGBRV IjGQV
\MhIeQjR mhj
CZR VJ
\bWP_ IHTlpCOTV
_SYSi C_S
\\ IeRV[\U
CgSM` Z\Pf
\_V[\oWFED\hQjRWQ IH_UfMhU\VP
Ie`\jQllQRV \QAQRV
C_SSC_WErQ CEiAOR
HaagpU \aEWha`U
$ \QPAINUA`C
\S\A IHQPAIj]ipPYVBHXYVBBQ\
\S`C_L_WWWc \_fgWL_
_]Xm CXmGWm
C_L_WWcL_c C_WoL
ISGZiQ \QApM
\QAQR Ie`\jQllQR
\QApMV ISGZiQV
^ISITA`\MRQWB IR
$ C_SWR
IjUGR IhCGR
Ij`\_V[[Ri`CgSM ISprfXLf
ISG C
F__UlVZZZZZXQi]lO IhCGrlO
\bWP_ IHTlpCOTV
\QApM ISGZiQ
IN`\aUZ CGDHFlcjiMUZ
CGm IRWeSGLf
IBMRQABpVDifrg Ij`CgK]
Iji I
oXmL CXmGWmG
CGfCQA IHfTQ`
\DQ IH_UfMhU\V
eRR IH_`CXiRl
CGP CXmkWoTTTXT
\aph \QjQff
am \QjGF\TQA\
IRAQ`\_RV \TR_V
HaagpUgpUg IRWME_agpUgpUgpUgpUg
Ihma \TTRVB[f
\_fgWL_L_ \S`C_L_WWWcL_
CEAjJpLn V[
CXmWUi IH_`CXiR
Ih XMQC
\TQ^c IRAQ`\_R
$ U
\_fgWL_L_cL_cL_WW C_L_WWWcL_WWW
C_W IHaE^lpfgQfQW
\a \__C
\MGUA\ \Qme
IHTlpCOTVB jaV
CGfMQUASUAUAUAUA \_
\TppeSil`]lQQ`\_T IeRVBB`IR
IAlHQP IHQAQ
IRWlh \MQWHWSPF
\SiYTOTU CGUm_QHIRPI
Iq CG_U
\S`C_L_WWWcL_c \_fgWL_L_c
CZRPRR IjUA`CZ
CDpTT CXLRpnT
m\[_U IhfM
dX` C_EfM_lHS`CX
CE N`\EQmWoW^E
IRjQ`\MQff CGUm_QHIRPI
\amTpO_DiUTAGrOT`IH_ IhmQP
\_PB _IeWZ
\_PFV k
IeQ`C PMB
\ IeV[\ZrlpLfE_UX_UZRZX_r
Ih \TTRVB[f
IRPACG`Cg ke
CgRWVXi`CD CLR
\aC`C $
\Mr afWOfK]l
YIhW \TQPBA\TlpLoRWVeS
\QWoE IG
m IRPACG`
CGRVB[fagpUgpUgpUgpUgpUg INGLagpUgpUYgpUgpUMgpUg
C_WeMe IH_`\SiWeRV\E
IRWEhTU IN`INGhUP
IN h
CGD X\_VYV
$ hl`
CEXqFMSfCi IAlHQPf
\MQWHWSPFl \TpW
C_SSC_WE Ij`\_fWG
T C_WBUP[COTf]
ISrallllQFM C_L_cL_Wc
\hQW \TpM_leVB[fCiS\Tp
ING \Qr
C_WBVY_T \QKLT
\aC`IN`\a \cPn`\Q_
\QApMQ`IRWUj Ih
\_DqB`IRWFCX NXGG
QAlp]G]pYQ C_SS\MRQjRQ
TIM I
\_QUA`\QP_`Ugp IH_V\eQWL`
CEXYV\SPFUAIeI ISQDif
q\\_cQJIj IN
IhmQP` \amTpO_DiUTAGrOT`IH_`
\TlpY_`IHQPA \TpYTpfWRAQ`
QG \S`\_
\TX \MRQA
BIZ^nLPA\ \_V\lN`\
\SiCTPFUDqFSfWR CGPHPiUUZXPFoSYS`IRjGo
CGfMQUASUAUAUAUA` \_`
IHQAQfYM \B
CgRflL CGRVRi_fQAp]OT
\amQkijOrpYalHTQQGB INGB
IhfTp $
ImWhTQ` $
Ij \G_
IN \amQkijOrpYalHTQQ
Ij` BIZ^nLPA
ma I
N`\EQmWoW^ C
\QAQ Ie`\jQllQ
CGf]lpClp IRAllQfYMLKlji
C_L_WWWcL_WW \_fgWL_L_cL_cL_W
Ij IT
Iji \MLYlRAllp
IAlHQPfYM ISLEj
IRj IAlHQPfYM
CZRRR ICD
\MhBACDp CXLRpnTTTT
IHQAQ IAlHQP
IN IeSFeMrllpfEAQQUA
BSC C
IRjhqIEEkEEk cMGCoErQ`C
aCegI \TQfW
\MLf_ \SiCOTP[
CgKe I
IeQGrQA\ \QPim
C $
C_We dI
$ G
\MGZClQ IHQAlpL`p
I IShIY
G\L CGffUZZZZ
CEifWUA\`BbQWAErpSCZ \Tp]lprXi
IhUZ \QWMEfYa
IGp]g] \SUA
C_SSC_WE Ij`\_fWG
\TpfUXPFEL SaP
\TpfmMLD IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\
CgRWVXi`CD CLR
\MGUA\_ C\a`C
IN`INGhUP IRWEhTU
\lQPhEQq IhmS
\S`\ CGUC`
\S`C_L_WWWcL \_fgWL_L
KCXmGW \SUA
dX`LRp CZRlpT
\TQPBA\TlpLoRWVeS YIhW
\_RVBFoE nNlR
INX_UlA CGQ
CGRVRiDqHPMFYXmGSWBmkW IePF^X
\cPn`\Q_C\A CEeSMfSYS\A
IHQj\agpUgpUgpUgqpUgpUh \SiClOTVRq[WHaDgpUgpUgpUgpUgpUgpUg
ISprfXLf Ij`\_V[[Ri`CgSM
HSPB IhEP_CGB
IhCGr F__UlVZZZZZXQi]
CXLRpnTT CDpTTT
CEXYV\SPFUAIeIp \TOT`CEXqH
C \S`CR
CgK kE
\TpSI IG
CEXYV\SPFUAIeI ISQDif
LZp \QW^D
\Si $
CXp CXilp
\SGGVijRQ QAlp]G]pYQ
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\ CGRVB[fa
\_ HB
\amQkijOrpYalHTQQG C_WZpeREQiYM
\TlOT`CZ \QAIlprXiRRRR
IpiSI CGA\__l
\_fgWL_L_cL_cL_WWcL_ C_L_WWWWcL_
Hg CEe
\aagpUgpUgp IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gp
CGDiA\TpCp] \_V[\oWFED\hQjRW
CGUCGLag IH_V\eQWL`UgpUg
[\MRQ IeRVBB`IR
C_WMS \Tq
Ie`\jQllQRV \QAQRV
ImWhTQ`I I
\_fgWL_L_cL \S`C_L_WWWcL_cL
CgRS CEY_XmQADkp
IN`\aUZ CGDHFlcjiMUZ
\_ CGfMQUASUAUAUAUA
Ij` BIZ^nLPA
\a^Ugp \aUX_TAir_Sf`Ugp
IQ IHTOTA\a
CXLRp CXLRpnT
\QAOTQ IeQ`IjF
C_WlRAlOTUC ]baEjGQQ
ISrQPFYEiP \aCAifle
H]\ShIlH C_EUf
c]S IHQWl
OX CXmkW
CGDHFlcjiMU IN`\aU
I UC_EUQ
\ \T
ISR GQ
G \TpM
\_VA\YZ CZ
XCXZ CZRRR
U Ie`
IHM U
IHTlQ \iLfEi
CG_falHaUZXQU aT
IHMQfrAZp CXL
\TOT` g
EIH CgS_EUTA`CGUUZZXfY
$ \_VB
$ CgRW
IEjfZgpSeG_SGGSD CEPiV[R
IA I
\TTRVB[f \_UmQP_lh
C_L_ C__cLW\cqL_WcL_WWWWWT
CXLRpnTTTTTTTTT CDpTTTTTTTTTT
Iji \MLYlRAllp
CSQiWW CGPHX
UNVU \_UfaT
IHMG EIHa
\QPQU \QKLT
CYGRp CXL
C_L^__qc C_L_WWcL_WWWcL_cL_WcL_c
INiflhf QAlp]G]pY
IBMRQABpVDifrg Ij`CgK]
\SiCTPFUDqFSfWR C_
ImWhTQ` $
MRNjLf CGUU
IjUAi Q\KLrN
\aCAifle \
IeVIBU_faUZXQ IN
IefWSBbQjGZfEWEYBUlRWVO[\ZWhagp\gpUgpUg \TQ_agpUg
ImWhTQ` \_A
C BSC
\aE K\Q
cHTTGBR CGDY
\QA IN
\Si]pY__fQW^ ITSQPFY
CX`F CXmGWm
IeH C_WlSQDi`
CXLRpnTTT CXLRpTT
INiflhf QAlp]G]pY
CgE \QP
CGDHFlcjiMU IN`\aU
\apfMhqIkkIkp IShqIkkkEEkkEkEkEkkEEkEkEEk
CpRp ISRQWMS]lOTQiYQjhIYDpTT
\TQUEjQV[Ri \SiCOTP[
CGQ`\aTA`\QWoL_cL_WWWWc CgQ
CGcVRq \_VBH
CgSM`MDq \TR_VB
IHaUZWQiWSrllOTZfL`NW CG`IhC
\_fgWL_L_cL_ \S`C_L_WWWcL_cL_
\_VA\YZ CZ
\aEWeaCARjhqAE \SGhqI
CgR C_D
\_VBH bhIN`C_S`foVWYE
I CgK]SMoRSCQ
C $
IRWMfE \QjhB_EWhTpr
CZR IHMQfrAZ
H]\ShIl I
C_SSC_WEr Ij`\_fWGr
$ Ij`CGfCQD
IPFMLXf C_L_WWcL_
CXLRpnTT CDpTTT
CG_U Iq
Ha INiMU
\_UEA afD
C_SWRW W
CEeK c^
C_WU`C Cn
\TOTUEPU _SYSif
IRWEhTU IN`INGhUP
$ \Sif
\T IRAlVQQ`IeYBH
\TQQG \Qr
G\L CGffUZZZZ
\TQPBA\TlpLoRWVeS YIhW
\amQkijOrpYalHTQQG \aEApYM
CEeRSlQmP[qXqFY CG`C
\MhBACDpTTTTT \MhU\hIYDpTT
$ hl`
_PFFIe`_IH_ \MQ
CEYDi`\_UEPDiPB`\S\AAAAAAAAA IeVIBU_faUZXQ\
\aUX_EjQPFUP[]OT IeJ
T \Tll
IeHC \_DqB`IRWFC
IN`IRPRV[BBDi`MGE IHTl
CX IePF^ZpR
PCZR IRAllOT
\\ IRP
\_fgWL_L_cL \S`C_L_WWWcL_cL
\TQ^cV IRAQ`\_RV
\_ \_ABP
\aTAGrp]OT`C_W G
hX \Tl
\SGQUfQ [SGm_
\__ \SGp]OTkL_
IRAOTffEAO \q
\_fgWL_L_cL_cL_W \S`C_L_WWWcL_cL_cL_W
\_AIRAp]OTQGBb \SS`\CM`Ge
nNlR \_RVBFoE
CGRVB[fa Haa
CXmGWip ITSQPFYZp
I CGPB
\S`^XkM INGLfaCGG^Z
Ie IRjQDiRV[RHPqBP[YGP
$ \QjQff
\amQWlH dMLjf
\TOTDiUEjh iKma[
\amaTAi BSJ
F__UlVZZZZZXQi] IRAl
IN`\aUZ CGDHFlcjiMUZ
CGmM IN`\SG
IN`\aU CGDHFlcjiMU
SWVOB CEYP
\QAIlprXiRRRR \TlOT`CZ
IHTlpCOTV \bWP_
CKo CgSloK
CXmGWip ITSQPFYZp
IeUl $
IeQ \TOTDqYhMrllpS\lafg
\MhU\hIYDpTT IePF^ZpRpTTT
IN`IRPRV[BBDi`MGEQ Ie
\WlOhTA\cp IjGrOTP[
CGPHX CSQiWW
IeQi IhlH_VRqFBMWU
\aT IeSFeMrllpfEAQQU
C \_VA\Y
Cp CXL
CXmGW _]X
C_L_WWcL_WWWcL_cL_WcL_ C_L^__q
IS \lQPhEQqG
C_L^__qcL C_L_WWcL_WWWcL_cL_WcL_cL
CZR CZRPRR
\ \QWELl
\QWZWRAQQGG B
ofTppAp \QPfrX
\amTpO_DiUTAGrOT`IH_` IhmQP`
CgSM`r \fMG^
CgRWMWU`\S\AAAA N`IjUA\GA
IHS`CGQ` Q
\ CXRWh
\QKLT \QPQU
\ CgKeSloSl`CllpSI
IR ^ISITA`\MRQWB
IjGrpY nNlR`\
IHQAlpL`p \MGZClQ
IRW ISGeQPQGQ`\QP
