22823
AAAABBABABBBBBA BAAABAA
BBAABABABBBAAAAABAAABBBA ABBB
BBABAABAAAAB ABAAABABAABBBBABBBABAAAAAABBA
ABABBABBBBBABBABA AABBBABBBAA
AAB AAABABABBAABAABAAA
BABABBAAAAAAAABAABBB BABBAAABABBBAA
B AAAAABA
AAAAABABAABB BBB
ABBBBAAABAABBBBBBABAAA BAABBA
BBAB AA
ABABABBBAABBABAAAAB AAAAABBAA
AAAB BBAABAA
BBABABAAAABBBAAABABBABBAA AAABBBAABAABBABBBB
BBBAABBBAABAA BBBBABBAA
ABAABAB BAABAABA
BBBAABAABAABBBA AAAAAABBBA
ABBABBAAAABABBBBAAABAAABBBAABBBAABABAA BABBBA
AABBBAABABB AB
AAA BAABB
BBAABABBABBBAAABABBAAAABBAAABAABABBBAABBBBBBABAAABBBAAAA BAAAA
ABBBABBBAAABBAAAABABABBBAAAABAA BABBAAAAAA
ABBBBAAABAABBBBBBABA ABAA
AAABBBBBABAAAABBABABAB ABAAB
BBABBBB BABBBAB
BB AAABBBAABAABBABBB
A BBAABAAAAAABBBABBABBB
BAAAAABA AABBBB
AAAAABBB AAAAAABBB
AAB BAAAAABAAABBAAAB
AABBABAABBABAABB BBBBBBABAABB
AABBABAB BAABABBABAABAAAABA
BBBBABABABBBAAAABABABABBB BABBBAAB
AABBBABAAAABABAABBBABAABBABB AAB
BBABBAA BABBBAAABBBABBAABBAAA
BABBAAAABBAABAABBBAAAABBBBAAABBBBBAB $
AA BAAAAAAAAAAAAABBABAAABBBBAABBBBBBBBBBABBABBBAABBBABB
BBABBAAB AAABAABAAB
ABAAAAA BBABA
BBABABABBABABBBBBAABAAA BAAABABBBBABABAABA
BABBABBBB BABBBAB
BBBAAAABBAAABBBBAABBAABBAABAA A
AA BABBAABA
BAABBBBABAAAA BBAABBBBBAAABBB
B BAAAAAABABBABB
AAAAABBABABAABBBBB BB
BAAAB BABBAABBABBAB
AABBBABAAAABAABABBAAAABAABAAABABAAAA $
BAABABAABABBBA ABAAABBAAABBBAAABBABBBAABABBA
BBB ABBABBABBBBBAABBBBABABBBAABABABAABA
AB BBABBBBBBAA
AAAAABBAA ABBABBBAB
BBABBAABAAABABABABBBAAAAB AAAAAAAAAB
BBBBABBBBBA AAABAAAAABABABBBAA
AAA ABBABABBAAAAABBBBAABB
ABBAAAAABABAAAABBABABABBBBABAABAABABB ABBAAABAAABABBBB
BBBAAABBABB AAABBBABAABBABBA
B ABBBBAAAABBAABBBBAABBBAA
ABAAABBAAABBBAAABBABBBAABABB BAABABAABABBB
BBBA AABBBBAABABAB
AABBBAAA BBBABAABAABBAA
AB AAB
AA ABBAAABAABBAABBBBA
AABABABBBABA BBABBAABABBABBABBABBAAAA
AAABBAABAAAB AAAABBBBBBAAA
AAAABBAAABABAAB BAABBBB
AABBABBBBBAA A
AABAAAAABAAAAAAB BBBABBBAABBAAAB
AAABBABBABAAAAA BAAAAABBBBB
BBAAABAAABABABBB BBBABAABBBBAAAA
AB ABBBBAAA
$ AABBBAB
AAAABBAAABABBBABAABBBABAAA BAAAB
BABABBABB AAABA
AAAA AAABBAABAB
AAAAABBAAAAB ABABABBBAABBABAAAABAAB
AB ABABAAABBAABBBA
AABABBBBAB BBABABBBBBAAAA
BBAAAAB AB
$ BBAAA
A $
BABBAA BAAAABBBBAB
BAAAAA AAAABBBBBAB
$ BABBAAAABBAABAABBBAAAABBBBAAABBBBBAB
$ B
AAABBAAAAAABBABA A
BABAAA AABAABAABAABABBBBBAA
BA AABBBAABA
BBAAAAABABAABBABABABBBABABBABAABA AAAAABB
AB BAA
BBABAAAAABBABB AABBAABAAABA
BBAAAABBBBA ABAAAABB
ABBA ABBBB
AAB AAAABAAAABBBBBBBAAABAAAAAABBBBABBABABAABBB
AAABAAABA $
BABBBBAABBAABAABABAB BABBAAABAB
ABBBAAAABAABABBBBAABBBA BAAABA
AAB AABAAABBBBBBAABAABBBB
BBBBBAAA ABBBAABBBBBABBABABBBABBBBA
ABAABABAB $
AABBAAABBB BBABBABABBBABAAABBBAAA
BBBBBAABB BAAAAABAABBBAABBAA
BBBBBB BA
AAAAABAAAAAB BBBBBBABAAAB
BBBABB BAAABABAABBBBBBBB
ABAABABB ABBB
BABAABAA BABABAABABAABAB
BBBABABA BBBBAB
ABBBAAABA BAABABBABBA
ABBAAAAAABBBBA BAABBBBABABB
ABBBABBBAAABBAAAABABABBBAAAABAAA $
BAB BBABB
BAAAAAAABBAABAAABAAAABBBBAA AABAA
BAAAABABABBBABBBAABBBBBA AAAAAB
AAABBABABBBAA BB
ABBAAAAAAAAAABBBBAABAB BAAAAABBAAABA
$ ABAA
AABBBAABAA BAA
BBABBAAABBABBBBAAABBABBABABABA $
ABBBBA ABBABAAAA
BB A
BBABABABAAAAAAAAAABAABABA BBABBAABAABBABAABB
$ BBBAABABBAAAAABBBAAA
BBBBABBAB AAAAAAB
ABAABBB BABBAAAAAABBBAB
AABBBBABAAB AABAAAABBAABABAA
BBABBAAABBABBBBAAABBABBABABABAA BAAAAAABBABBAA
AAA ABAAAABBB
BBAABABABBBAAAAABAAABB BBABAABABBBBAABABBBABBB
BBBABA BAABABAAB
BAABA BAA
BAABAABBABABABBA $
BABBBBBAAB $
AAAABBAA ABABBAABABABABBBBBB
AABBABAABBABAAB BBBBBBABAAB
ABBBBABAAAAABBABAAABBABAA BABBABAAB
BABBAABABBAAAAABAAB BAA
A BABBBBABABAA
ABBBBBBBAAABAAAAAABAABB AAABBBA
AABBBBBABBBAAAABBBBABBA BBBB
BBBAAABBA AABBAAB
BBABAABABBAAABBABBBABBABAAA ABBBBABAABAABBB
ABAABAA BBBABAAABBAABBBAABAABAAAAABAABABABB
AAABABAABAAAAABBAAABBB B
BAAA ABBBAABBBBBA
ABBAABABABA ABBAABBBA
BBB BBABBBABAAABBAABA
ABAB ABBAAABAABBA
$ BBBBAAAB
AB AABAAABABBBBBAB
BAAAA B
AA ABABAB
BBABBBAABBABBABAAB ABAAAB
ABBBABA AABBBAABAAAABB
AABBBBAA AABABBA
ABABBABAABABABAB BBBBBAAABBB
BABBB BAAAABAAABA
BBABB AABBBABABAABABAABBAAABBAAAABAAABABABABABABABAAAA
AABAABAABAABABBBBB BABA
ABABAAAAABBABBBA BABA
BAABBBA ABBBABBABAABAAABBABBAAA
ABAA AAABBABBABAAAAABAABAAABABAA
ABBABB AABBBBBABBBAAAABBBBAB
ABABA A
AAAABAB BABAA
BBABBAA ABB
ABAABABBA BBBABBBBBAABAABBAAABBBABB
BBB BBABBBABAAABBAABA
AAABABA $
BAAAABBBABAABAAABBBAB AAAABBBBABBBB
BBBAABAAAB ABBBBABBBBBBBBAA
BABA BBBBB
BBAAABAAABABABBBBABAAB BBBAABABBA
BBBBBBBABABABBBA AA
AAA BBBA
BBABBAAABBABBBBAAABBABBABABAB BAAAAAABBABB
AABAAAABAB ABAAAAABABBAAABBBA
ABBBAABA ABBBBBAAA
BBBAB BAAABABAABBBBBBB
AABBAA ABBBAABBBAAAAAAAB
AABAA BAAAAAAABBAABAAABAAAABBBBAA
A B
AB BABBBBA
A AABBBBBABAAABBABAB
$ AABBABBBA
BBAABBAABBAAA AAABAABBAAAABAAAA
ABAA ABBBBAAABAABBBBBBABA
BAAAAAABAAABAABAAAAABABBBABAAA BBBAAA
A BABBBBABABAA
ABABBBBABB AAAAABBAA
BAAAAAABABBABB B
ABABABAABBBAABB BABBBBAABBAABAABABABBBAABAAB
ABBBBAAABAABBBBBBABAA ABAAA
AAABBAAA A
AABAAAABBAABABAAAA BBA
ABBBB ABBA
BAABABBA BBBBBB
AAABBA AABBB
A ABABBABBAAA
BAABAABBABAABAABAAABA BABAABBA
BAAAAAA AAAAABAA
$ ABAA
