dataset,status,impl,positive_set_size,negative_set_size,number_of_queries,build_time_us,query_time_us,memory_bytes,total_output_len
trainA,OK,naive,2433,2023,26183,407,18844,218484,251187
trainA,OK,precomp,2433,2023,26183,3358665,6386,302560524,232820
trainA,OK,sqrt,2433,2023,26183,58599,6069,12518640,258619
trainA,OK,naive,2433,2023,26183,347,15563,218484,251187
trainA,OK,precomp,2433,2023,26183,3283216,8884,302560524,232820
trainA,OK,sqrt,2433,2023,26183,48335,5823,12518640,258619
trainA,OK,naive,2433,2023,26183,795,24571,218484,251187
trainA,OK,precomp,2433,2023,26183,3074627,3926,302560524,232820
trainA,OK,sqrt,2433,2023,26183,42845,5907,12518640,258619
trainA,OK,naive,2433,2023,26183,397,16244,218484,251187
trainA,OK,precomp,2433,2023,26183,3098656,6916,302560524,232820
trainA,OK,sqrt,2433,2023,26183,71697,5718,12518640,258619
trainB,OK,naive,8507,5387,23855,3490,41895,737364,272293
trainB,OK,precomp,8507,5387,23855,44814001,17019,2561302976,245062
trainB,OK,sqrt,8507,5387,23855,225121,9003,42742148,270946
trainB,OK,naive,8507,5387,23855,1142,24893,737364,272293
trainB,OK,precomp,8507,5387,23855,43991471,23214,2561302976,245062
trainB,OK,sqrt,8507,5387,23855,246367,10593,42742148,270946
trainB,OK,naive,8507,5387,23855,1329,33444,737364,272293
trainB,OK,precomp,8507,5387,23855,39001217,7271,2561302976,245062
trainB,OK,sqrt,8507,5387,23855,178135,8802,42742148,270946
trainB,OK,naive,8507,5387,23855,1342,25980,737364,272293
trainB,OK,precomp,8507,5387,23855,35713110,6320,2561302976,245062
trainB,OK,sqrt,8507,5387,23855,176084,9500,42742148,270946
train.1,OK,naive,2020,1458,23907,870,30844,218484,230497
train.1,OK,precomp,2020,1458,23907,1670809,5068,171773304,222434
train.1,OK,sqrt,2020,1458,23907,50549,9052,11519196,231229
train.1,OK,naive,2020,1458,23907,675,26279,218484,230497
train.1,OK,precomp,2020,1458,23907,1639394,3922,171773304,222434
train.1,OK,sqrt,2020,1458,23907,44944,6263,11519196,231229
train.1,OK,naive,2020,1458,23907,309,24962,218484,230497
train.1,OK,precomp,2020,1458,23907,1705884,3925,171773304,222434
train.1,OK,sqrt,2020,1458,23907,50323,13505,11519196,231229
train.1,OK,naive,2020,1458,23907,349,22924,218484,230497
train.1,OK,precomp,2020,1458,23907,1742948,4083,171773304,222434
train.1,OK,sqrt,2020,1458,23907,39506,6387,11519196,231229
train.2,OK,naive,5066,5657,22891,966,25932,737364,254618
train.2,OK,precomp,5066,5657,22891,19053219,5757,1487529108,233407
train.2,OK,sqrt,5066,5657,22891,187759,9877,39031752,256317
train.2,OK,naive,5066,5657,22891,986,25835,737364,254618
train.2,OK,precomp,5066,5657,22891,19945688,10469,1487529108,233407
train.2,OK,sqrt,5066,5657,22891,175831,8921,39031752,256317
train.2,OK,naive,5066,5657,22891,1229,26505,737364,254618
train.2,OK,precomp,5066,5657,22891,21466644,5397,1487529108,233407
train.2,OK,sqrt,5066,5657,22891,219222,9429,39031752,256317
train.2,OK,naive,5066,5657,22891,1389,46181,737364,254618
train.2,OK,precomp,5066,5657,22891,17623056,5751,1487529108,233407
train.2,OK,sqrt,5066,5657,22891,173315,8976,39031752,256317
train.4,OK,naive,1472,1027,22185,473,24030,145656,206844
train.4,OK,precomp,1472,1027,22185,707726,3631,89596624,201953
train.4,OK,sqrt,1472,1027,22185,32176,5977,8160884,206025
train.4,OK,naive,1472,1027,22185,233,17938,145656,206844
train.4,OK,precomp,1472,1027,22185,780429,7693,89596624,201953
train.4,OK,sqrt,1472,1027,22185,35385,6001,8160884,206025
train.4,OK,naive,1472,1027,22185,213,17878,145656,206844
train.4,OK,precomp,1472,1027,22185,693871,3639,89596624,201953
train.4,OK,sqrt,1472,1027,22185,53901,20634,8160884,206025
train.4,OK,naive,1472,1027,22185,777,20768,145656,206844
train.4,OK,precomp,1472,1027,22185,714216,3484,89596624,201953
train.4,OK,sqrt,1472,1027,22185,25695,5909,8160884,206025
train.5,OK,naive,3753,3800,20786,1485,36162,491580,229424
train.5,OK,precomp,3753,3800,20786,8549190,5926,749555000,218641
train.5,OK,sqrt,3753,3800,20786,113192,11008,27218716,226886
train.5,OK,naive,3753,3800,20786,909,36406,491580,229424
train.5,OK,precomp,3753,3800,20786,11608905,9752,749555000,218641
train.5,OK,sqrt,3753,3800,20786,108441,11536,27218716,226886
train.5,OK,naive,3753,3800,20786,692,26215,491580,229424
train.5,OK,precomp,3753,3800,20786,11910861,10021,749555000,218641
train.5,OK,sqrt,3753,3800,20786,107330,10770,27218716,226886
train.5,OK,naive,3753,3800,20786,673,26294,491580,229424
train.5,OK,precomp,3753,3800,20786,11724012,5579,749555000,218641
train.5,OK,sqrt,3753,3800,20786,101846,10871,27218716,226886
train.6,OK,naive,9579,10255,19152,2441,44319,1659060,239139
train.6,TIMEOUT,,,,,,,,
train.6,OK,sqrt,9579,10255,19152,484160,17449,87547596,239132
train.6,OK,naive,9579,10255,19152,2387,53986,1659060,239139
train.6,TIMEOUT,,,,,,,,
train.6,OK,sqrt,9579,10255,19152,507610,17152,87547596,239132
train.6,OK,naive,9579,10255,19152,2434,45593,1659060,239139
train.6,TIMEOUT,,,,,,,,
train.6,OK,sqrt,9579,10255,19152,690269,17284,87547596,239132
train.6,OK,naive,9579,10255,19152,3679,55978,1659060,239139
train.6,TIMEOUT,,,,,,,,
train.6,OK,sqrt,9579,10255,19152,447800,18188,87547596,239132
train.7,OK,naive,742,779,19688,178,13434,97104,175959
