dataset,status,impl,positive_set_size,negative_set_size,number_of_queries,build_time_us,query_time_us,memory_bytes,total_output_len
trainA,OK,naive,2433,2023,26183,900,35097,218484,251187
trainA,OK,sqrt,2433,2023,26183,49731,9002,12517728,258124
trainA,OK,naive,2433,2023,26183,703,17293,218484,251187
trainA,OK,sqrt,2433,2023,26183,74103,8394,12517728,258124
trainA,OK,naive,2433,2023,26183,1042,33373,218484,251187
trainA,OK,sqrt,2433,2023,26183,49032,6292,12517728,258124
trainA,OK,naive,2433,2023,26183,353,33021,218484,251187
trainA,OK,sqrt,2433,2023,26183,84702,12110,12517728,258124
trainB,OK,naive,8507,5387,23855,1229,31585,737364,272293
trainB,OK,sqrt,8507,5387,23855,230759,9304,42731428,270816
trainB,OK,naive,8507,5387,23855,1358,27572,737364,272293
trainB,OK,sqrt,8507,5387,23855,202811,9229,42731428,270816
trainB,OK,naive,8507,5387,23855,1119,24786,737364,272293
trainB,OK,sqrt,8507,5387,23855,179995,10188,42731428,270816
trainB,OK,naive,8507,5387,23855,1357,25138,737364,272293
trainB,OK,sqrt,8507,5387,23855,195484,12545,42731428,270816
trainC,OK,naive,18338,18654,21989,5941,46984,2488584,285258
trainC,OK,sqrt,18338,18654,21989,825829,14828,136937452,284343
trainC,OK,naive,18338,18654,21989,4529,40306,2488584,285258
trainC,OK,sqrt,18338,18654,21989,769181,15177,136937452,284343
trainC,OK,naive,18338,18654,21989,4437,40939,2488584,285258
trainC,OK,sqrt,18338,18654,21989,768278,14966,136937452,284343
trainC,OK,naive,18338,18654,21989,4508,40405,2488584,285258
trainC,OK,sqrt,18338,18654,21989,719720,16337,136937452,284343
trainD,OK,naive,61660,53340,20716,29273,71493,8398956,301439
trainD,OK,sqrt,61660,53340,20716,3311127,27298,455214708,305471
trainD,OK,naive,61660,53340,20716,19727,57637,8398956,301439
trainD,OK,sqrt,61660,53340,20716,3157393,35238,455214708,305471
trainD,OK,naive,61660,53340,20716,21267,61574,8398956,301439
trainD,OK,sqrt,61660,53340,20716,3336647,27369,455214708,305471
trainD,OK,naive,61660,53340,20716,22568,62150,8398956,301439
trainD,OK,sqrt,61660,53340,20716,3428693,23016,455214708,305471
train.1,OK,naive,2020,1458,23907,331,21457,218484,230497
train.1,OK,sqrt,2020,1458,23907,39221,7040,11517420,231197
train.1,OK,naive,2020,1458,23907,395,25683,218484,230497
train.1,OK,sqrt,2020,1458,23907,72137,11471,11517420,231197
train.1,OK,naive,2020,1458,23907,349,22792,218484,230497
train.1,OK,sqrt,2020,1458,23907,79099,10065,11517420,231197
train.1,OK,naive,2020,1458,23907,366,21439,218484,230497
train.1,OK,sqrt,2020,1458,23907,38643,6716,11517420,231197
train.2,OK,naive,5066,5657,22891,1083,29955,737364,254618
train.2,OK,sqrt,5066,5657,22891,235209,9888,39016216,256666
train.2,OK,naive,5066,5657,22891,977,26226,737364,254618
train.2,OK,sqrt,5066,5657,22891,185447,10277,39016216,256666
train.2,OK,naive,5066,5657,22891,988,28202,737364,254618
train.2,OK,sqrt,5066,5657,22891,166103,11966,39016216,256666
train.2,OK,naive,5066,5657,22891,1022,29591,737364,254618
train.2,OK,sqrt,5066,5657,22891,220686,11667,39016216,256666
train.3,OK,naive,13445,14968,20661,4140,104039,1659060,261865
train.3,OK,sqrt,13445,14968,20661,641479,25754,98109808,263182
train.3,OK,naive,13445,14968,20661,5418,53267,1659060,261865
train.3,OK,sqrt,13445,14968,20661,556496,44271,98109808,263182
train.3,OK,naive,13445,14968,20661,3820,57063,1659060,261865
train.3,OK,sqrt,13445,14968,20661,597573,18180,98109808,263182
train.3,OK,naive,13445,14968,20661,4085,40699,1659060,261865
train.3,OK,sqrt,13445,14968,20661,572488,17980,98109808,263182
trainR,OK,naive,45112,42388,19446,13903,73594,5599308,280146
trainR,OK,sqrt,45112,42388,19446,2146291,27891,332421896,277935
trainR,OK,naive,45112,42388,19446,14750,74713,5599308,280146
trainR,OK,sqrt,45112,42388,19446,1955213,30621,332421896,277935
trainR,OK,naive,45112,42388,19446,14656,90629,5599308,280146
trainR,OK,sqrt,45112,42388,19446,2200776,27990,332421896,277935
trainR,OK,naive,45112,42388,19446,13913,80033,5599308,280146
trainR,OK,sqrt,45112,42388,19446,1972520,29158,332421896,277935
train.4,OK,naive,1472,1027,22185,286,19012,145656,206844
train.4,OK,sqrt,1472,1027,22185,38185,11676,8156596,206397
train.4,OK,naive,1472,1027,22185,507,28519,145656,206844
train.4,OK,sqrt,1472,1027,22185,30614,7014,8156596,206397
train.4,OK,naive,1472,1027,22185,254,16524,145656,206844
train.4,OK,sqrt,1472,1027,22185,28476,6850,8156596,206397
train.4,OK,naive,1472,1027,22185,222,16464,145656,206844
train.4,OK,sqrt,1472,1027,22185,29975,7189,8156596,206397
train.5,OK,naive,3753,3800,20786,843,31413,491580,229424
train.5,OK,sqrt,3753,3800,20786,109685,11678,27218476,226886
train.5,OK,naive,3753,3800,20786,822,26160,491580,229424
train.5,OK,sqrt,3753,3800,20786,101815,10717,27218476,226886
train.5,OK,naive,3753,3800,20786,1599,31428,491580,229424
train.5,OK,sqrt,3753,3800,20786,100361,13212,27218476,226886
train.5,OK,naive,3753,3800,20786,667,27759,491580,229424
train.5,OK,sqrt,3753,3800,20786,109520,11234,27218476,226886
train.6,OK,naive,9579,10255,19152,2622,46424,1659060,239139
train.6,OK,sqrt,9579,10255,19152,412024,16465,87543804,239242
train.6,OK,naive,9579,10255,19152,2337,45118,1659060,239139
train.6,OK,sqrt,9579,10255,19152,508166,45423,87543804,239242
train.6,OK,naive,9579,10255,19152,2994,77460,1659060,239139
train.6,OK,sqrt,9579,10255,19152,418503,16338,87543804,239242
train.6,OK,naive,9579,10255,19152,2322,52219,1659060,239139
train.6,OK,sqrt,9579,10255,19152,390803,15752,87543804,239242
trainS,OK,naive,28629,31371,17945,9975,79604,5599308,251916
trainS,OK,sqrt,28629,31371,17945,1737523,29327,289917016,251556
trainS,OK,naive,28629,31371,17945,9927,76244,5599308,251916
trainS,OK,sqrt,28629,31371,17945,1582730,28944,289917016,251556
trainS,OK,naive,28629,31371,17945,9818,77089,5599308,251916
trainS,OK,sqrt,28629,31371,17945,1590688,30982,289917016,251556
trainS,OK,naive,28629,31371,17945,9888,77951,5599308,251916
trainS,OK,sqrt,28629,31371,17945,1576491,28759,289917016,251556
train.7,OK,naive,742,779,19688,180,13760,97104,175959
train.7,OK,sqrt,742,779,19688,17443,4852,5481536,175830
train.7,OK,naive,742,779,19688,154,19980,97104,175959
train.7,OK,sqrt,742,779,19688,16768,4778,5481536,175830
train.7,OK,naive,742,779,19688,154,13462,97104,175959
train.7,OK,sqrt,742,779,19688,16114,4655,5481536,175830
train.7,OK,naive,742,779,19688,139,13399,97104,175959
train.7,OK,sqrt,742,779,19688,15480,4634,5481536,175830
train.8,OK,naive,2440,1942,18482,520,23990,327720,192370
train.8,OK,sqrt,2440,1942,18482,60678,9654,17970292,192942
train.8,OK,naive,2440,1942,18482,430,24910,327720,192370
train.8,OK,sqrt,2440,1942,18482,59962,8819,17970292,192942
train.8,OK,naive,2440,1942,18482,440,31447,327720,192370
train.8,OK,sqrt,2440,1942,18482,69036,9509,17970292,192942
train.8,OK,naive,2440,1942,18482,557,24637,327720,192370
train.8,OK,sqrt,2440,1942,18482,58699,8652,17970292,192942
train.9,OK,naive,5131,6124,16699,1422,35909,1106040,199959
train.9,OK,sqrt,5131,6124,16699,223400,14235,56951232,199117
train.9,OK,naive,5131,6124,16699,1240,35330,1106040,199959
train.9,OK,sqrt,5131,6124,16699,226167,15817,56951232,199117
train.9,OK,naive,5131,6124,16699,1412,39183,1106040,199959
train.9,OK,sqrt,5131,6124,16699,233413,15211,56951232,199117
train.9,OK,naive,5131,6124,16699,1732,51776,1106040,199959
train.9,OK,sqrt,5131,6124,16699,278446,15730,56951232,199117
trainT,OK,naive,15754,16746,15771,4907,67289,2488584,212982
trainT,OK,sqrt,15754,16746,15771,772189,36439,146724676,212401
trainT,OK,naive,15754,16746,15771,8895,95233,2488584,212982
trainT,OK,sqrt,15754,16746,15771,708842,26870,146724676,212401
trainT,OK,naive,15754,16746,15771,6160,67449,2488584,212982
trainT,OK,sqrt,15754,16746,15771,690861,27272,146724676,212401
trainT,OK,naive,15754,16746,15771,5835,77011,2488584,212982
trainT,OK,sqrt,15754,16746,15771,692113,27313,146724676,212401
