dataset,alphabet_size,positive_set_size,negative_set_size,avg_word_len,cnt_symbols,cnt_nodes_trie,cnt_nodes_double_trie,cnt_links,cnt_distinguishable_prefix_pairs,avg_overlap
trainA,2,2433,2023,13.996,62366,15006,30015,66822,9805900,1.9197
trainB,2,8507,5387,16.0252,222654,51273,102597,236548,90670760,1.9142
trainC,2,18338,18654,18.0122,666306,155253,310279,703298,682679564,1.9385
trainD,2,61660,53340,20.0024,2300272,517873,1036363,2415272,6567704043,1.9259
train.1,2,2020,1458,14.0242,48776,12824,25638,52254,5845196,1.9776
train.2,2,5066,5657,15.9765,171316,42621,85282,182039,57144369,1.935
train.3,2,13445,14968,18.0025,511506,128208,256732,539919,399704899,1.9911
trainR,2,45112,42388,20.0035,1750304,425869,851347,1837804,3816518779,1.9431
train.4,2,1472,1027,13.9788,34933,10242,20373,37432,2999942,1.9096
train.5,2,3753,3800,16.0029,120870,33508,67056,128423,28415791,1.9726
train.6,2,9579,10255,17.9878,356771,98784,197402,376605,195288779,1.9813
trainS,2,28629,31371,20.0064,1200382,322067,644071,1260382,1794709338,1.9337
train.7,2,742,779,14.0296,21339,7242,14463,22860,1150405,1.9918
train.8,2,2440,1942,15.9685,69974,22586,45084,74356,9460327,2.0518
train.9,2,5131,6124,18.0068,202667,64896,129892,213922,62797827,1.9941
trainT,2,15754,16746,19.9869,649575,201041,402019,682075,527101962,1.9708
