dataset,status,impl,positive_set_size,negative_set_size,number_of_queries,build_time_us,query_time_us,memory_bytes,total_output_len,"cnt_symbols,cnt_nodes",cnt_links,cnt_distinguishable_suffixes
anti_naive1,OK,naive,17,15,100000,166,1130604,115104,100000,2902,2752,0,-1
anti_naive1,OK,precomp,17,15,100000,8933,30524,1878016,100000,2902,4543,2934,597
anti_naive1,OK,sqrt,17,15,100000,5046,24973,1866020,100000,2902,4543,2934,597
anti_naive1,OK,naive,17,15,100000,163,943601,115104,100000,2902,2752,0,-1
anti_naive1,OK,precomp,17,15,100000,5101,30170,1878016,100000,2902,4543,2934,597
anti_naive1,OK,sqrt,17,15,100000,5129,25445,1866020,100000,2902,4543,2934,597
anti_naive1,OK,naive,17,15,100000,159,686494,115104,100000,2902,2752,0,-1
anti_naive1,OK,precomp,17,15,100000,5004,34744,1878016,100000,2902,4543,2934,597
anti_naive1,OK,sqrt,17,15,100000,5447,25126,1866020,100000,2902,4543,2934,597
anti_naive1,OK,naive,17,15,100000,163,885512,115104,100000,2902,2752,0,-1
anti_naive1,OK,precomp,17,15,100000,5108,30595,1878016,100000,2902,4543,2934,597
anti_naive1,OK,sqrt,17,15,100000,4978,24854,1866020,100000,2902,4543,2934,597
anti_naive2,TIMEOUT,,,,,,,,,,,,
anti_naive2,OK,precomp,2,0,1000,4490870,84,1117712064,1000,2000002,3000006,2000004,0
anti_naive2,OK,sqrt,2,0,1000,3810888,55,1117712068,1000,2000002,3000006,2000004,0
anti_naive2,TIMEOUT,,,,,,,,,,,,
anti_naive2,OK,precomp,2,0,1000,3838703,50,1117712064,1000,2000002,3000006,2000004,0
anti_naive2,OK,sqrt,2,0,1000,3672681,51,1117712068,1000,2000002,3000006,2000004,0
anti_naive2,TIMEOUT,,,,,,,,,,,,
anti_naive2,OK,precomp,2,0,1000,3728716,50,1117712064,1000,2000002,3000006,2000004,0
anti_naive2,OK,sqrt,2,0,1000,4310015,68,1117712068,1000,2000002,3000006,2000004,0
anti_naive2,TIMEOUT,,,,,,,,,,,,
anti_naive2,OK,precomp,2,0,1000,3682840,51,1117712064,1000,2000002,3000006,2000004,0
anti_naive2,OK,sqrt,2,0,1000,3791945,43,1117712068,1000,2000002,3000006,2000004,0
anti_naive3,TIMEOUT,,,,,,,,,,,,
anti_naive3,OK,precomp,2,0,50000,247494,2136,61938896,50000,100002,150006,100004,0
anti_naive3,OK,sqrt,2,0,50000,201828,2120,61938900,50000,100002,150006,100004,0
anti_naive3,TIMEOUT,,,,,,,,,,,,
anti_naive3,OK,precomp,2,0,50000,205518,2135,61938896,50000,100002,150006,100004,0
anti_naive3,OK,sqrt,2,0,50000,211248,2043,61938900,50000,100002,150006,100004,0
anti_naive3,TIMEOUT,,,,,,,,,,,,
anti_naive3,OK,precomp,2,0,50000,215179,2212,61938896,50000,100002,150006,100004,0
anti_naive3,OK,sqrt,2,0,50000,227183,2351,61938900,50000,100002,150006,100004,0
anti_naive3,TIMEOUT,,,,,,,,,,,,
anti_naive3,OK,precomp,2,0,50000,203439,2176,61938896,50000,100002,150006,100004,0
anti_naive3,OK,sqrt,2,0,50000,207492,2135,61938900,50000,100002,150006,100004,0
anti_naive4,TIMEOUT,,,,,,,,,,,,
anti_naive4,OK,precomp,102,100,100000,543953,5848,159615048,100000,240002,377191,240204,25150
anti_naive4,OK,sqrt,102,100,100000,543014,5435,159027228,100000,240002,377191,240204,25150
anti_naive4,TIMEOUT,,,,,,,,,,,,
anti_naive4,OK,precomp,102,100,100000,542312,4094,159615048,100000,240002,377191,240204,25150
anti_naive4,OK,sqrt,102,100,100000,552930,4252,159027228,100000,240002,377191,240204,25150
anti_naive4,TIMEOUT,,,,,,,,,,,,
anti_naive4,OK,precomp,102,100,100000,551359,4075,159615048,100000,240002,377191,240204,25150
anti_naive4,OK,sqrt,102,100,100000,549203,6391,159027228,100000,240002,377191,240204,25150
anti_naive4,TIMEOUT,,,,,,,,,,,,
anti_naive4,OK,precomp,102,100,100000,542567,4045,159615048,100000,240002,377191,240204,25150
anti_naive4,OK,sqrt,102,100,100000,556400,4118,159027228,100000,240002,377191,240204,25150
