dataset,status,impl,positive_set_size,negative_set_size,number_of_queries,build_time_us,query_time_us,memory_bytes,total_output_len
anti_naive1,OK,naive,17,15,100000,478,1883855,115104,100000
anti_naive1,OK,precomp,17,15,100000,5277,31440,1878016,100000
anti_naive1,OK,sqrt,17,15,100000,10068,58043,1866020,100000
anti_naive1,OK,naive,17,15,100000,395,1725436,115104,100000
anti_naive1,OK,precomp,17,15,100000,7831,67494,1878016,100000
anti_naive1,OK,sqrt,17,15,100000,5305,26930,1866020,100000
anti_naive1,OK,naive,17,15,100000,209,1459060,115104,100000
anti_naive1,OK,precomp,17,15,100000,5545,45529,1878016,100000
anti_naive1,OK,sqrt,17,15,100000,6206,49796,1866020,100000
anti_naive1,OK,naive,17,15,100000,170,1535055,115104,100000
anti_naive1,OK,precomp,17,15,100000,5434,38468,1878016,100000
anti_naive1,OK,sqrt,17,15,100000,5358,39479,1866020,100000
anti_naive1,OK,naive,17,15,100000,161,1653112,115104,100000
anti_naive1,OK,precomp,17,15,100000,5264,31037,1878016,100000
anti_naive1,OK,sqrt,17,15,100000,5182,26913,1866020,100000
anti_naive2,OK,naive,2,0,1000,138552,21210648,75590528,1000
anti_naive2,OK,precomp,2,0,1000,5725853,56,1117712064,1000
anti_naive2,OK,sqrt,2,0,1000,5393386,182,1117712068,1000
anti_naive2,OK,naive,2,0,1000,137569,23866443,75590528,1000
anti_naive2,OK,precomp,2,0,1000,4803927,50,1117712064,1000
anti_naive2,OK,sqrt,2,0,1000,4994697,75,1117712068,1000
anti_naive2,OK,naive,2,0,1000,121113,21805017,75590528,1000
anti_naive2,OK,precomp,2,0,1000,4708637,51,1117712064,1000
anti_naive2,OK,sqrt,2,0,1000,4656379,48,1117712068,1000
anti_naive2,OK,naive,2,0,1000,110941,20951081,75590528,1000
anti_naive2,OK,precomp,2,0,1000,4952273,51,1117712064,1000
anti_naive2,OK,sqrt,2,0,1000,4883116,87,1117712068,1000
anti_naive2,OK,naive,2,0,1000,123002,20967338,75590528,1000
anti_naive2,OK,precomp,2,0,1000,4639434,65,1117712064,1000
anti_naive2,OK,sqrt,2,0,1000,5266202,51,1117712068,1000
anti_naive3,OK,naive,2,0,50000,8314,49521872,4424160,50000
anti_naive3,OK,precomp,2,0,50000,352045,2402,61938896,50000
anti_naive3,OK,sqrt,2,0,50000,239128,2549,61938900,50000
anti_naive3,OK,naive,2,0,50000,6381,54577520,4424160,50000
anti_naive3,OK,precomp,2,0,50000,216693,2525,61938896,50000
anti_naive3,OK,sqrt,2,0,50000,218763,2056,61938900,50000
anti_naive3,OK,naive,2,0,50000,6269,51514992,4424160,50000
anti_naive3,OK,precomp,2,0,50000,262742,2137,61938896,50000
anti_naive3,OK,sqrt,2,0,50000,230270,2043,61938900,50000
anti_naive3,OK,naive,2,0,50000,6059,52233054,4424160,50000
anti_naive3,OK,precomp,2,0,50000,324099,2368,61938896,50000
anti_naive3,OK,sqrt,2,0,50000,390094,2603,61938900,50000
anti_naive3,OK,naive,2,0,50000,7643,51789859,4424160,50000
anti_naive3,OK,precomp,2,0,50000,337133,2157,61938896,50000
anti_naive3,OK,sqrt,2,0,50000,396707,5941,61938900,50000
anti_naive4,TIMEOUT,,,,,,,,
anti_naive4,OK,precomp,102,100,100000,689699,3867,159615048,100000
anti_naive4,OK,sqrt,102,100,100000,605214,5161,159027228,100000
anti_naive4,TIMEOUT,,,,,,,,
anti_naive4,OK,precomp,102,100,100000,581507,3943,159615048,100000
anti_naive4,OK,sqrt,102,100,100000,570391,3953,159027228,100000
anti_naive4,TIMEOUT,,,,,,,,
anti_naive4,OK,precomp,102,100,100000,708051,4373,159615048,100000
anti_naive4,OK,sqrt,102,100,100000,865278,5258,159027228,100000
anti_naive4,TIMEOUT,,,,,,,,
anti_naive4,OK,precomp,102,100,100000,944632,14032,159615048,100000
anti_naive4,OK,sqrt,102,100,100000,873425,8132,159027228,100000
anti_naive4,TIMEOUT,,,,,,,,
anti_naive4,OK,precomp,102,100,100000,1109612,10171,159615048,100000
anti_naive4,OK,sqrt,102,100,100000,891574,8905,159027228,100000
