dataset,status,impl,positive_set_size,negative_set_size,number_of_queries,build_time_us,query_time_us,memory_bytes,total_output_len
1_training,OK,naive,6,4,38084,36,4984,2016,75894
1_training,OK,precomp,6,4,38084,257,2516,43784,75894
1_training,OK,sqrt,6,4,38084,154,1276,42332,75894
1_training,OK,naive,6,4,38084,36,3522,2016,75894
1_training,OK,precomp,6,4,38084,495,2331,43784,75894
1_training,OK,sqrt,6,4,38084,375,3947,42332,75894
1_training,OK,naive,6,4,38084,44,3414,2016,75894
1_training,OK,precomp,6,4,38084,331,1443,43784,75894
1_training,OK,sqrt,6,4,38084,388,2975,42332,75894
1_training,OK,naive,6,4,38084,45,1758,2016,75894
1_training,OK,precomp,6,4,38084,168,1620,43784,75894
1_training,OK,sqrt,6,4,38084,155,1630,42332,75894
2_training,OK,naive,5927,5688,24676,5037,15678,1310880,213826
2_training,OK,precomp,5927,5688,24676,4232003,11770,212121656,206891
2_training,OK,sqrt,5927,5688,24676,124032,11303,27225052,214209
2_training,OK,naive,5927,5688,24676,2423,10061,1310880,213826
2_training,OK,precomp,5927,5688,24676,3557298,12322,212121656,206891
2_training,OK,sqrt,5927,5688,24676,160011,10119,27225052,214209
2_training,OK,naive,5927,5688,24676,2457,10107,1310880,213826
2_training,OK,precomp,5927,5688,24676,3470153,12914,212121656,206891
2_training,OK,sqrt,5927,5688,24676,166282,10862,27225052,214209
2_training,OK,naive,5927,5688,24676,3367,15512,1310880,213826
2_training,OK,precomp,5927,5688,24676,3470798,11629,212121656,206891
2_training,OK,sqrt,5927,5688,24676,143912,10832,27225052,214209
3_training,OK,naive,6251,6047,33108,3359,20882,873920,258191
3_training,OK,precomp,6251,6047,33108,3976585,26976,210253216,233814
3_training,OK,sqrt,6251,6047,33108,92514,11889,19970948,256777
3_training,OK,naive,6251,6047,33108,4275,25623,873920,258191
3_training,OK,precomp,6251,6047,33108,3799139,13069,210253216,233814
3_training,OK,sqrt,6251,6047,33108,92127,11745,19970948,256777
3_training,OK,naive,6251,6047,33108,3855,19971,873920,258191
3_training,OK,precomp,6251,6047,33108,3825140,11609,210253216,233814
3_training,OK,sqrt,6251,6047,33108,132963,11429,19970948,256777
3_training,OK,naive,6251,6047,33108,1618,10765,873920,258191
3_training,OK,precomp,6251,6047,33108,3934115,11408,210253216,233814
3_training,OK,sqrt,6251,6047,33108,104204,10382,19970948,256777
4_training,OK,naive,4750,4446,33726,1075,8343,582624,244228
4_training,OK,precomp,4750,4446,33726,1745108,10080,97242256,235201
4_training,OK,sqrt,4750,4446,33726,52956,8859,13068820,251898
4_training,OK,naive,4750,4446,33726,2153,13743,582624,244228
4_training,OK,precomp,4750,4446,33726,1639155,10022,97242256,235201
4_training,OK,sqrt,4750,4446,33726,59165,9110,13068820,251898
4_training,OK,naive,4750,4446,33726,1174,8586,582624,244228
4_training,OK,precomp,4750,4446,33726,1659567,9834,97242256,235201
4_training,OK,sqrt,4750,4446,33726,130207,8913,13068820,251898
4_training,OK,naive,4750,4446,33726,2884,15253,582624,244228
4_training,OK,precomp,4750,4446,33726,1580634,9920,97242256,235201
4_training,OK,sqrt,4750,4446,33726,53527,8529,13068820,251898
5_training,OK,naive,4201,3071,31794,3342,25806,582624,232086
5_training,OK,precomp,4201,3071,31794,1384008,9451,87379484,223615
5_training,OK,sqrt,4201,3071,31794,50282,11259,12703072,243458
5_training,OK,naive,4201,3071,31794,1149,7910,582624,232086
5_training,OK,precomp,4201,3071,31794,1281894,8810,87379484,223615
5_training,OK,sqrt,4201,3071,31794,96181,13037,12703072,243458
5_training,OK,naive,4201,3071,31794,2329,17367,582624,232086
5_training,OK,precomp,4201,3071,31794,1258279,8393,87379484,223615
5_training,OK,sqrt,4201,3071,31794,61744,8210,12703072,243458
5_training,OK,naive,4201,3071,31794,1728,14115,582624,232086
5_training,OK,precomp,4201,3071,31794,1245141,9171,87379484,223615
5_training,OK,sqrt,4201,3071,31794,51510,8354,12703072,243458
6_training,OK,naive,1991,1966,27811,927,9681,582624,229125
6_training,OK,precomp,1991,1966,27811,484395,9816,47761076,224627
6_training,OK,sqrt,1991,1966,27811,50236,7962,11699112,233983
6_training,OK,naive,1991,1966,27811,1196,25880,582624,229125
6_training,OK,precomp,1991,1966,27811,521881,7595,47761076,224627
6_training,OK,sqrt,1991,1966,27811,48788,9725,11699112,233983
6_training,OK,naive,1991,1966,27811,964,9690,582624,229125
6_training,OK,precomp,1991,1966,27811,650913,13451,47761076,224627
6_training,OK,sqrt,1991,1966,27811,45164,9289,11699112,233983
6_training,OK,naive,1991,1966,27811,845,9673,582624,229125
6_training,OK,precomp,1991,1966,27811,530817,8387,47761076,224627
6_training,OK,sqrt,1991,1966,27811,46538,8909,11699112,233983
7_training,OK,naive,2369,2155,25175,586,7462,388416,207894
7_training,OK,precomp,2369,2155,25175,291412,6638,25316216,204280
7_training,OK,sqrt,2369,2155,25175,68461,10036,8015820,207555
7_training,OK,naive,2369,2155,25175,2417,25294,388416,207894
7_training,OK,precomp,2369,2155,25175,256000,6293,25316216,204280
7_training,OK,sqrt,2369,2155,25175,29752,6210,8015820,207555
7_training,OK,naive,2369,2155,25175,1101,11926,388416,207894
7_training,OK,precomp,2369,2155,25175,266162,6602,25316216,204280
7_training,OK,sqrt,2369,2155,25175,29782,6251,8015820,207555
7_training,OK,naive,2369,2155,25175,729,7429,388416,207894
7_training,OK,precomp,2369,2155,25175,257520,7049,25316216,204280
7_training,OK,sqrt,2369,2155,25175,29497,6307,8015820,207555
8_training,OK,naive,1590,1334,51705,308,14571,115104,349227
8_training,OK,precomp,1590,1334,51705,115069,6507,12599468,331855
8_training,OK,sqrt,1590,1334,51705,12509,8443,2851376,356646
8_training,OK,naive,1590,1334,51705,279,15146,115104,349227
8_training,OK,precomp,1590,1334,51705,131322,6307,12599468,331855
8_training,OK,sqrt,1590,1334,51705,12438,8066,2851376,356646
8_training,OK,naive,1590,1334,51705,276,14655,115104,349227
8_training,OK,precomp,1590,1334,51705,127912,6310,12599468,331855
8_training,OK,sqrt,1590,1334,51705,26256,11878,2851376,356646
8_training,OK,naive,1590,1334,51705,436,17002,115104,349227
8_training,OK,precomp,1590,1334,51705,129944,5914,12599468,331855
8_training,OK,sqrt,1590,1334,51705,11451,8069,2851376,356646
9_training,OK,naive,2560,2674,22823,1901,11394,873920,208381
9_training,OK,precomp,2560,2674,22823,1031184,9366,85982952,203147
9_training,OK,sqrt,2560,2674,22823,68766,8564,17710940,206461
9_training,OK,naive,2560,2674,22823,1541,10175,873920,208381
9_training,OK,precomp,2560,2674,22823,1052275,9227,85982952,203147
9_training,OK,sqrt,2560,2674,22823,69018,8190,17710940,206461
9_training,OK,naive,2560,2674,22823,1479,10162,873920,208381
9_training,OK,precomp,2560,2674,22823,930427,8123,85982952,203147
9_training,OK,sqrt,2560,2674,22823,88540,9474,17710940,206461
9_training,OK,naive,2560,2674,22823,1489,10113,873920,208381
9_training,OK,precomp,2560,2674,22823,955519,10883,85982952,203147
9_training,OK,sqrt,2560,2674,22823,71963,8483,17710940,206461
10_training,OK,naive,1687,2328,36750,1025,14537,258944,281040
10_training,OK,precomp,1687,2328,36750,269792,7341,25979160,266621
10_training,OK,sqrt,1687,2328,36750,21828,7777,5905708,277107
10_training,OK,naive,1687,2328,36750,505,11084,258944,281040
10_training,OK,precomp,1687,2328,36750,271967,7137,25979160,266621
