dataset,alphabet_size,positive_set_size,negative_set_size,avg_word_len,cnt_symbols,cnt_nodes_trie,cnt_nodes_double_trie,cnt_links,cnt_distinguishable_prefix_pairs,avg_overlap
1_training,2,6,4,8,80,61,117,90,63,2.254
2_training,2,5927,5688,13.5792,157722,30661,61025,169337,62104854,1.9776
3_training,2,6251,6047,12.4338,152911,24323,48735,165209,73319768,1.9981
4_training,2,4750,4446,10.7641,98987,15281,30755,108183,40437186,1.9674
5_training,2,4201,3071,12.1194,88132,14517,29295,95404,25643712,1.9946
6_training,2,1991,1966,14.5883,57726,12543,25204,61683,7740639,2.012
7_training,2,2369,2155,9.41755,42605,9034,18089,47129,8772712,1.9913
8_training,2,1590,1334,9.33482,27295,3592,7170,30219,4113548,1.955
9_training,2,2560,2674,15.8697,83062,19881,39651,88296,12803290,1.991
10_training,2,1687,2328,10.2244,41051,7357,14686,45066,7208186,2.0026
11_training,2,1194,1069,15.5435,35175,8972,17943,37438,2330065,1.9896
12_training,2,323,692,10.2296,10383,2228,4455,11398,438959,2.0003
13_training,2,810,902,17.434,29847,7802,15663,31559,1501318,2.0171
14_training,2,1117,883,14.0955,28191,7144,14242,30191,1932378,1.9823
15_training,2,641,551,12.4337,14821,3106,6273,16013,697529,1.968
16_training,2,326,484,9.49877,7694,2013,4018,8504,252141,2.0333
17_training,2,586,473,15.6837,16609,4448,8904,17668,561085,1.9844
18_training,2,414,378,13.9836,11075,2827,5546,11867,312845,1.9854
19_training,2,461,423,15.9559,14105,3751,7510,14989,386953,2.0198
20_training,2,372,433,8.98137,7230,1760,3530,8035,240481,2.0106
21_training,5,7030,6204,8.87101,117399,28905,57163,130633,56788905,1.2372
22_training,5,7251,5640,8.40912,108402,25507,51733,121293,53398788,1.2851
23_training,5,8343,6503,12.0981,179608,47139,99739,194454,71084186,1.2353
24_training,5,5058,5201,12.0579,123702,39259,78810,133961,33631891,1.2666
25_training,5,4158,4575,7.80453,68157,15565,32226,76890,24323886,1.2525
26_training,5,2279,2360,12.0192,55757,16184,32527,60396,7389122,1.5232
27_training,5,2963,2491,10.1021,55097,15597,30408,60551,9991359,1.2633
28_training,5,1484,1653,7.40485,23229,5292,10893,26366,3081964,1.2765
29_training,5,3348,2533,11.7774,69263,21930,43634,75144,11001856,1.249
30_training,5,2205,2345,8.85407,40286,9970,20301,44836,6629748,1.2492
31_training,5,792,967,7.25128,12755,3159,6493,14514,990278,1.2436
32_training,5,1229,1121,8.58894,20184,5792,11555,22534,1773733,1.2318
33_training,5,1256,1058,10.5389,24387,7464,15401,26701,1672572,1.2503
34_training,5,1421,1339,9.82355,27113,8061,16507,29873,2408516,1.2383
35_training,5,1317,1224,9.85439,25040,7260,14762,27581,2083270,1.2456
36_training,5,735,655,13.8791,19292,7115,14143,20682,650343,1.2594
37_training,5,450,558,10.3681,10451,3428,6814,11459,326612,1.2539
38_training,5,519,500,10.6585,10861,3509,7142,11880,331957,1.2677
39_training,5,741,587,9.39759,12480,3984,7972,13808,562730,1.253
40_training,5,522,534,11.214,11842,4055,8156,12898,361411,1.2518
41_training,10,9324,5643,9.28048,138901,40612,79602,153868,60176698,1.1179
42_training,10,8799,5281,7.66811,107967,28242,58048,122047,51887429,1.1469
43_training,10,8948,5282,11.2911,160673,52500,104645,174903,53664344,1.123
44_training,10,5984,5720,6.3134,73892,17156,34467,85596,38632037,1.1157
45_training,10,8895,5254,9.63573,136336,38703,79513,150485,53528686,1.1213
46_training,10,3605,2149,7.60775,43775,13268,26923,49529,8741395,1.1121
47_training,10,3000,2367,7.87479,42264,12138,24130,47631,8311798,1.1335
48_training,10,2587,2404,7.18233,35847,9476,19546,40838,6929149,1.1092
49_training,10,1826,2194,7.02637,28246,7176,15097,32266,4572887,1.0929
50_training,10,3313,2526,8.8361,51594,16164,31662,57433,9630541,1.1185
51_training,10,1090,1002,6.57075,13746,4049,8316,15838,1275501,1.1073
52_training,10,1015,900,5.47885,10492,3046,6405,12407,1004974,1.1137
53_training,10,1274,1239,8.78671,22081,7189,14651,24594,1822845,1.11
54_training,10,1095,961,7.59193,15609,4881,9765,17665,1187710,1.0987
55_training,10,1242,1235,7.26282,17990,5341,10741,20467,1735855,1.1029
56_training,10,555,544,10.2557,11271,4027,8229,12370,339660,1.1211
57_training,10,413,382,11.5673,9196,3287,6680,9991,188644,1.1891
58_training,10,778,598,10.5749,14551,5169,10653,15927,524097,1.1072
59_training,10,351,402,5.50996,4149,1264,2655,4902,159200,1.0918
60_training,10,642,506,11.2274,12889,4809,9717,14037,367022,1.1113
61_training,20,8386,5444,7.64179,105686,30820,63198,119516,49175246,1.0678
62_training,20,7324,5748,8.12752,106243,31581,63895,119315,45231917,1.0718
63_training,20,8813,5414,8.09756,115204,29971,64564,129431,52408670,1.055
64_training,20,8407,6119,9.22828,134050,41449,83509,148576,55849134,1.0498
65_training,20,6157,5336,7.10363,81642,21636,43846,93135,36648196,1.0466
66_training,20,3679,2629,11.2473,70948,26542,52871,77256,10482848,1.0537
67_training,20,2242,2441,7.18727,33658,9231,19062,38341,5837695,1.0511
68_training,20,3654,2326,10.7896,64522,23084,47065,70502,9398924,1.0677
69_training,20,2724,2540,7.99449,42083,12055,24812,47347,7605716,1.0576
70_training,20,2533,2553,9.00786,45814,14431,28941,50900,7317746,1.0869
71_training,20,1677,1233,8.21649,23910,8121,16555,26820,2217444,1.0563
72_training,20,1553,1383,10.7084,31440,10651,21852,34376,2336347,1.0561
73_training,20,1708,1221,13.1465,38506,14766,30347,41435,2256607,1.0626
74_training,20,1179,1200,8.85792,21073,7302,14796,23452,1534241,1.0505
75_training,20,1460,1383,10.1045,28727,9812,19927,31570,2207901,1.0574
76_training,20,359,630,7.96764,7880,2663,5519,8869,243972,1.0534
77_training,20,691,647,10.92,14611,5694,11418,15949,487077,1.0572
78_training,20,836,679,10.2462,15523,5802,11556,17038,624186,1.0548
79_training,20,766,767,10.8187,16585,6170,12222,18118,673072,1.0573
80_training,20,681,653,10.8651,14494,5428,10831,15828,478933,1.1145
81_training,50,8846,5601,10.4536,151023,49136,100155,165470,51495776,1.0225
82_training,50,9840,5810,8.80671,137825,43589,90487,153475,60104382,1.0239
83_training,50,9901,6027,9.60617,153007,50297,100882,168935,62710603,1.0306
84_training,50,3705,5619,6.11862,57050,16175,34020,66374,22056526,1.0273
85_training,50,7249,5906,8.27936,108915,35200,69414,122070,45850163,1.0379
86_training,50,3480,2942,8.91124,57228,18234,37682,63650,10948800,1.03
87_training,50,3232,2982,7.46411,46382,13614,27621,52596,10116062,1.012
88_training,50,3587,2774,10.8395,68950,24759,51798,75311,10419073,1.0194
89_training,50,2999,2675,7.58001,43009,13753,28956,48683,8273391,1.0214
90_training,50,2820,2447,8.01652,42223,13432,27317,47490,7289494,1.0269
91_training,50,943,1214,6.4956,14011,4353,9108,16168,1196944,1.0148
92_training,50,1649,1485,9.22591,28914,10958,21853,32048,2577459,1.0141
93_training,50,1587,1414,9.78874,29376,10629,21160,32377,2490700,1.0322
94_training,50,897,1230,6.02069,12806,4064,8680,14933,1146020,1.0139
95_training,50,1114,1320,7.36442,17925,5706,11976,20359,1582341,1.0201
96_training,50,492,601,9.05398,9896,3503,7251,10989,317786,1.0726
97_training,50,501,642,9.50744,10867,4059,8242,12010,345876,1.0506
98_training,50,359,484,8.0083,6751,2558,5323,7594,179800,1.0101
99_training,50,604,620,8.2018,10039,3734,7747,11263,389812,1.0143
